Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
0,0,0,80,0,40,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,AIF",2014,2014,,3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,80,,,,80,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Environment Sustainability,,,,,,,,,,,,,
AIF,AIF,2014,2014,8280,3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,,,,,0,,40,,40,DVA,PS,Full Administration,Multilateral,Loan,,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,03/31/2014,,,,,Sovereign,,,,,
0,0,0,172.7,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AIF,2014,2014,,3161/8286,46391-001,,,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,SERD,SEEN,09/23/2014,172.7,,,,172.7,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,,,,
AIF,AIF,2014,2014,8286,3161/8286,46391-001,,,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,SERD,SEEN,09/23/2014,,,,,0,,100,,100,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,09/23/2014,,,,,Sovereign,,,,,
0,0,0,400,0,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"AIF,AFD,KfW,World Bank",2015,2015,8293,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,400,,,,400,,,,,,,,,,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,,,,,,,,,,,,,,,
AIF,AIF,2015,2015,8293,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0,,100,,100,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,,,,,No,,09/30/2015,,,,Approved,Sovereign,,,,,
100,0,0,100,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AIF,2015,2015,8294,3310/8294,46422-003,,,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,SERD,SETC,11/10/2015,,100,,,100,,,,,,,,,,,3700,Transport,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,,
AIF,AIF,2015,2015,8294,3310/8294,46422-003,,,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,SERD,SETC,11/10/2015,,,,,0,,20,,20,DVA,PS,Full Administration,Multilateral,Loan,,3700,Transport,3701,Road Transport (Non-Urban),,,,No,,11/10/2015,,,,Approved,Sovereign,,,,B-Loan,
37,0,0,37,0,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AIF,2015,2015,8296,3315/8296,46443-003,,,LAO,Second Greater Mekong Subregion Corridor Towns Development,SERD,SEUW,11/13/2015,,37,,,37,,,,,,,,,,,3800,Water and Other Urban Infrastructure and Services,"3822, 3815, 3818, 3812","Renovation and Protection of Cultural Heritage,Urban Flood Protection,Urban Solid Waste Management,Other Urban Services",,,,,,,,,,,,,,,with L3314-CAM,
AIF,AIF,2015,2015,8296,3315/8296,46443-003,,,LAO,Second Greater Mekong Subregion Corridor Towns Development,SERD,SEUW,11/13/2015,,,,,0,,10,,10,DVA,PS,Full Administration,Multilateral,Loan,,3800,Water and Other Urban Infrastructure and Services,"3822, 3815, 3818, 3812",Renovation and Protection of Cultural Heritage,,,,No,,11/13/2015,,,,Approved,Sovereign,,,,,
0,0,0,575,0,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"World Bank,AIF",2015,2015,8297,3339/8297,49080-001,,,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,575,,,,575,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,,,,,,,,,,,,,,
AIF,AIF,2015,2015,8297,3339/8297,49080-001,,,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,,,,,0,,25,,25,DVA,PS,Full Administration,Multilateral,Loan,,3200,Energy,,,,,,No,,12/02/2015,,,,Approved,Sovereign,,,,,
,,,,,,,,,,,0,200,816,0,1016,370.66,0,0,370.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,0,30,11,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2015,2015,437,0126/0437,39370-023,,,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,,,30,,30,,,,,,,,,,,3000,"Agriculture, Natural Resources and Rural Development",3006,Livestock,,,,,,,,,,,,,,,GR0126 approved on 21 Nov 2008,
AITF,AITF,2015,2015,437,0126/0437,39370-023,,,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,,,,,0,11,,,11,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,Livestock,,,,Yes,,09/25/2015,,,,,Sovereign,,,,,
0,310,0,310,30,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2012,2012,,0244/0291,42095-033,MFF0025,,AFG,Road Network Development Investment Program - Tranche 2,CWRD,CWTC,05/29/2012,,,310,,310,,,,,,,,,,,3700,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,,,Supplementary to G0244 PFR2 from MFF0025 G0244 was approved for $340 m in 21 Dec 2010  amount was subsequently reduced by $30m in 29 May 2012 based on memo on change in financing sources from ADF Grant to AITF,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10; para for AITF pp49-50."
AITF,AITF,2012,2012,291,0244/0291,42095-033,MFF0025,,AFG,Road Network Development Investment Program - Tranche 2,CWRD,CWTC,05/29/2012,,,,,0,30,,,30,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,05/29/2012,,,,,Sovereign,,,,"RRP Financial table mentions $30 million excluding admin charges of $600,000","DR 2012. line in CWRD section on New Joint Initiatives, pp 10; para for AITF pp49-50."
0,188,0,188,33,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2011,2011,,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1,CWRD,CWTC,10/12/2011,,,188,,188,,,,,,,,,,ADF Grant,3700,Transport and ICT,,,,,,,,,,,,,,,,,08 December 2015 President Approval-change ADF grant form $189 million to $188 million for Grant 0261; add $1 million to Grant 0262 effected in 2015. ,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
AITF,AITF,2011,2011,262,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1,CWRD,CWTC,10/12/2011,,,,,0,33,,,33,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,10/12/2011,10/31/2011,,,,Sovereign,,,,Afghanistan Infrastructure Trust Fund,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2015,2015,,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1 (Supplementary),CWRD,CWTC,12/08/2015,,,,,0,,,,,,,,,,ADF Grant,3700,Transport,,,,,,,,,,,,,,,,,08 December 2015 President Approval-change ADF grant form $189 million to $188 million for Grant 0261; add $1 million to Grant 0262 effected in 2015. ,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
AITF,AITF,2015,2015,262,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1 (Supplementary),CWRD,CWTC,12/08/2015,,,,,0,1,,,1,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3700,Transport,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
0,149,0,149,60,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2012,2012,328,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program - Tranche 2,CWRD,CWTC,12/10/2012,,,149,,149,,,,,,,,,,,3700,Transport and ICT,3701,Road Transport,,,Sustainable Economic Growth,,,,,,,,,,,,"PFR2 from MFF0063- $787M, ADF $754M & AITF $93M (PFR1 GR0261 $189M ADF & GR0262 $33M AITF) with AITF grant component GR0328","DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
AITF,AITF,2012,2012,328,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program - Tranche 2,CWRD,CWTC,12/10/2012,,,,,0,60,,,60,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,12/10/2012,,,,,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
0,0,0,0,27,0,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2013,2013,328,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary),CWRD,CWTC,06/20/2013,,,,,0,,,,,,,,,,,3700,Transport and ICT,3701,Road Transport,,,Sustainable Economic Growth,,,,,,,,,,,,"PFR2 from MFF0063- $787M, ADF $754M & AITF $93M (PFR1 GR0261 $189M ADF & GR0262 $33M AITF) with AITF grant component GR0328","DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
AITF,AITF,2013,2013,328,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary),CWRD,CWTC,06/20/2013,,,,,0,27,,,27,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,Yes,,06/20/2013,,,,,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
0,99,0,99,117,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2013,2013,375,0374/0375,46392-001,,,AFG,North-South Power Transmission Enhancement,CWRD,CWEN,11/25/2013,,,99,,99,,,,,,,,,,,3200,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
AITF,AITF,2013,2013,375,0374/0375,46392-001,,,AFG,North-South Power Transmission Enhancement,CWRD,CWEN,11/25/2013,,,,,0,117,,,117,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,11/25/2013,,,,,Sovereign,,,,from $57 million to $117 million as additional commitment of $60 million from USAID to AITF was received ref: new coding form issued 10 Dec 2013,
0,40,0,40,16.66,0,0,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2014,2014,,0411/0412,48326-001,,,AFG,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,CWRD,AFRM,10/16/2014,,,40,,40,,,,,,,,,,,3000,"Agriculture, Natural Resources and Rural Development",3015,Irrigation,,,,,,,,,,,,,,,,
AITF,AITF,2014,2014,412,0411/0412,48326-001,,,AFG,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,CWRD,AFRM,10/16/2014,,,,,0,16.66,,,16.66,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,Irrigation,,,,No,,10/16/2014,,,,,Sovereign,,,,,
200,0,0,200,75,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,AITF,2015,2015,465,0464/0465,47282-003,,,AFG,Energy Supply Improvement ProgramﾗTranche 1,CWRD,CWEN,12/08/2015,,200,,,200,,,,,,,,,,,3200,Energy,,,,,,,,,,,,,,,,,MFF 0090,
