partner,year,approval_numbers_cofin,approval_number,proj_no,loan_grant_title
Germany,2011,2695/0323,0323,39298-013,City Region Development
IsDB,2011,2769,2769,37113-013,Power System Efficiency Improvement
IsDB,2011,2817,2817,38479-034,Regional Roads Development
Japan,2011,2453/2454/0253/0254,2453,40517-013,Public-Private Infrastructure Development Facility
Japan,2011,2453/2454/0253/0254,2454,40517-013,Public-Private Infrastructure Development Facility
Japan,2011,2453/2454/0253/0254,0253,40517-013,Public-Private Infrastructure Development Facility
Japan,2011,2453/2454/0253/0254,0254,40517-013,Public-Private Infrastructure Development Facility
Japan,2011,2756,2756,42171-013,Khulna Water Supply
Japan,2011,2761,2761,42122-013,Third Primary Education Development
Japan,2011,2785/0259/8274,2785,41509-013,Rural Primary Health Services Delivery
Japan,2011,2785/0259/8274,0259,41509-013,Rural Primary Health Services Delivery
Japan,2011,2785/0259/8274,8274,41509-013,Rural Primary Health Services Delivery
Japan,2011,9153,9153,42149-012,Institutional Support for Migrant Workers' Remittance
Japan,2011,9154,9154,44082-012,Improving Community-Based Rural Water Supply and Sanitation in Post-Conflict Areas of Jaffna and Kilinochchi
Japan,2011,9155,9155,44134-012,Advancing Economic Opportunities of Women and Girls
Japan,2011,9156,9156,44363-012, Improving Market Access for the Poor in Central Cambodia
Japan,2011,9157,9157,43103-012,Reducing Child Malnutrition through Social Protection
Japan,2011,9158,9158,44135-012," Improving Gender-Inclusive Access to Clean and Renewable Energy in Bhutan, Nepal and Sri Lanka"
Japan,2011,9159,9159,42321-012,Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups
Japan,2011,9160,9160,44129-012,Developing Sustainable Alternative Livelihoods in Coastal Fishing Communities in the Coral Triangle
Korea,2011,2610,2610,39595-033,Mong Duong 1 Thermal Power ﾖ Tranche 2
Korea,2011,2826,2826,41462-013,"Comprehensive Socioeconomic Urban Development in Viet Tri, Hung Yen, and Dong Dang"
NDF,2011,2789,2789,41433-013,Transport Connections in Northern Mountainous Provinces
New Zealand,2011,2820/3249/0273/0427,2820,42392-013,Interisland Shipping Support
New Zealand,2011,2820/3249/0273/0427,3249,42392-013,Interisland Shipping Support
New Zealand,2011,2820/3249/0273/0427,0273,42392-013,Interisland Shipping Support
New Zealand,2011,2820/3249/0273/0427,0427,42392-013,Interisland Shipping Support
Norway,2011,G0272/0289,0289,35174-082,School Sector Program
OFID,2011,2217/2767/8252,2217,38357-013,National Highways Sector
OFID,2011,2217/2767/8252,2767,38357-013,National Highways Sector
OFID,2011,2217/2767/8252,8252,38357-013,National Highways Sector
OFID,2011,2796/0267/8257,2796,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
OFID,2011,2796/0267/8257,0267,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
OFID,2011,2796/0267/8257,8257,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
PRIF,2011,2718,2718,44281-013,Road Rehabilitation
SCF-PPCR,2011,2839/G0278/8254,2839,43309-013,Provincial Roads Improvement
SCF-PPCR,2011,2839/G0278/8254,8254,43309-013,Provincial Roads Improvement
Sweden,2011,2761,2761,42122-013,Third Primary Education Development
Switzerland,2011,2796/0267/8257,2796,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
Switzerland,2011,2796/0267/8257,0267,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
Switzerland,2011,2796/0267/8257,8257,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
UNICEF,2011,2761,2761,42122-013,Third Primary Education Development
UNICEF,2011,G0272/0289,0289,35174-082,School Sector Program
U.K.,2011,2761,2761,42122-013,Third Primary Education Development
U.K.,2011,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers (Supplementary)
U.K.,2011,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers (Supplementary)
U.K.,2011,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers (Supplementary)
U.K.,2011,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers (Supplementary)
U.K.,2011,G0272/0289,0289,35174-082,School Sector Program
WHO,2011,2785/0259/8274,2785,41509-013,Rural Primary Health Services Delivery
WHO,2011,2785/0259/8274,0259,41509-013,Rural Primary Health Services Delivery
WHO,2011,2785/0259/8274,8274,41509-013,Rural Primary Health Services Delivery
World Bank,2011,2718,2718,44281-013,Road Rehabilitation
World Bank,2011,2761,2761,42122-013,Third Primary Education Development
World Bank,2011,G0272/0289,0289,35174-082,School Sector Program
ADFD,2012,2949/8263,2949,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
ADFD,2012,2949/8263,8263,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
AITF,2012,0244/0291,0244,42095-033,Road Network Development Investment Program - Tranche 2
AITF,2012,0244/0291,0291,42095-033,Road Network Development Investment Program - Tranche 2
Australia,2012,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector) (Supplementary)
Australia,2012,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector) (Supplementary)
Australia,2012,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector) (Supplementary)
Australia,2012,2288/2602/0187,2288,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary)
Australia,2012,2288/2602/0187,2602,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary)
Australia,2012,2288/2602/0187,0187,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary)
Australia,2012,2852/3125/0285,2852,46009-003,Flood Damage Emergency Reconstruction
Australia,2012,2852/3125/0285,3125,46009-003,Flood Damage Emergency Reconstruction
Australia,2012,2852/3125/0285,0285,46009-003,Flood Damage Emergency Reconstruction
Australia,2012,G0272/0289,0289,35174-082,School Sector Program (Supplementary)
"Australia,Australia",2012,0049/50,0049,39581-012,Road Improvement (Sector) (3rd Supplementary)
"Australia,Australia",2012,0049/50,0050,39581-012,Road Improvement (Sector) (3rd Supplementary)
CEF-CEFPF,2012,0303/2892/2893,0303,43576-013,Clean Energy and Network Efficiency Improvement
CEF-CEFPF,2012,0303/2892/2893,2892,43576-013,Clean Energy and Network Efficiency Improvement
CEF-CEFPF,2012,0303/2892/2893,2893,43576-013,Clean Energy and Network Efficiency Improvement
CTF,2012,2964/0326/8261,2964,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
CTF,2012,2964/0326/8261,0326,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
CTF,2012,2964/0326/8261,8261,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
CTF,2012,2964/0326/8261,2964,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
CTF,2012,2964/0326/8261,0326,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
CTF,2012,2964/0326/8261,8261,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
EBRD,2012,2916,2916,46145-001,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement
EIB,2012,2956,2956,39500-033,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2
EIB,2012,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
EIB,2012,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
EIB,2012,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
EIB,2012,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
France,2012,2862-64/0287/8270,0287,42169-013,Greater Dhaka Sustainable Urban Transport
France,2012,2862-64/0287/8270,8270,42169-013,Greater Dhaka Sustainable Urban Transport
France,2012,2959,2959,42039-035,Power Transmission Investment Program - Tranche 2
GAFSP,2012,2455/0116/0302,2455,42186-014,Emergency Food Assistance - Additional Financing
GAFSP,2012,2455/0116/0302,0116,42186-014,Emergency Food Assistance - Additional Financing
GAFSP,2012,2455/0116/0302,0302,42186-014,Emergency Food Assistance - Additional Financing
GEF,2012,2838/0311,2838,40685-023,Jiangsu Yancheng Wetlands Protection - Additional Financing
GEF,2012,2838/0311,0311,40685-023,Jiangsu Yancheng Wetlands Protection - Additional Financing
GEF,2012,2862-64/0287/8270,0287,42169-013,Greater Dhaka Sustainable Urban Transport
GEF,2012,2862-64/0287/8270,8270,42169-013,Greater Dhaka Sustainable Urban Transport
GEF,2012,2934/2935/0315,2934,39256-024,Urban Transport Development Investment Program - Tranche 1
GEF,2012,2934/2935/0315,2935,39256-024,Urban Transport Development Investment Program - Tranche 1
GEF,2012,2934/2935/0315,0315,39256-024,Urban Transport Development Investment Program - Tranche 1
GEF,2012,2957/0324-0325/8266,2957,41220-013,Integrated Natural Resources and Environmental Management
GEF,2012,2957/0324-0325/8266,8266,41220-013,Integrated Natural Resources and Environmental Management
GEF,2012,2980/0331,2980,44037-014,Shaanxi Weinan Luyang Integrated Saline Land Management
GEF,2012,2980/0331,0331,44037-014,Shaanxi Weinan Luyang Integrated Saline Land Management
Germany,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
Germany,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
Germany,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
Germany,2012,2914,2914,41627-053,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4
Germany,2012,2956,2956,39500-033,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2
IFAD,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
IFAD,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
IFAD,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
IFAD,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
IFAD,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
IFAD,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
IFAD,2012,2957/0324-0325/8266,2957,41220-013,Integrated Natural Resources and Environmental Management
IFAD,2012,2957/0324-0325/8266,8266,41220-013,Integrated Natural Resources and Environmental Management
IsDB,2012,2867/0290,2867,43566-013,"Inclusive Micro, Small, and Medium-sized Enterprise Development"
IsDB,2012,2867/0290,0290,43566-013,"Inclusive Micro, Small, and Medium-sized Enterprise Development"
IsDB,2012,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
IsDB,2012,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
Japan,2012,2857/2858,2857,45094-001,Road Network Upgrading
Japan,2012,2857/2858,2858,45094-001,Road Network Upgrading
Japan,2012,2872,2872,43396-013,Increasing Competitiveness for Inclusive Growth Program - Subprogram 1
Japan,2012,9161,9161,45127-001,Enhancing Access to Quality Early Childhood Education Services for Children in Poor Communities
Japan,2012,9162,9162,45320-001,Promoting Partnerships and Innovation in Poor and Underserved Communities
Japan,2012,9163/0288,9163,41504-024,Improved Energy Access for Rural Communities
Japan,2012,9163/0288,0288,41504-024,Improved Energy Access for Rural Communities
Japan,2012,9164,9164,45145-001,Establishment of Climate-Resilient Rural Livelihoods
Japan,2012,9165,9165,36222-013,Community-Based Irrigation Rehabilitation and Development
Japan,2012,9166,9166,45520-001,Community Sanitation
Japan,2012,9167,9167,45259-001,Enhanced Agricultural Value Chains for Sustainable Livelihoods
Japan,2012,9168,9168,43069-012,Livelihood Improvement for River Erosion Victims in Assam
Japan,2012,9169,9169,44359-012,Agribusiness Development Assistance for Smallholders in Mindanao
New Zealand,2012,0049/50,0049,39581-012,Road Improvement (Sector) (3rd Supplementary)
New Zealand,2012,0049/50,0050,39581-012,Road Improvement (Sector) (3rd Supplementary)
New Zealand,2012,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector) (Supplementary)
New Zealand,2012,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector) (Supplementary)
New Zealand,2012,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector) (Supplementary)
New Zealand,2012,9163/0288,9163,41504-024,Improved Energy Access for Rural Communities
New Zealand,2012,9163/0288,0288,41504-024,Improved Energy Access for Rural Communities
OFID,2012,0301/8259,0301,45432-002,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement
OFID,2012,0301/8259,8259,45432-002,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement
OFID,2012,2949/8263,2949,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
OFID,2012,2949/8263,8263,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
OFID,2012,2979/8264/0468,2979,42361-014,Medium-Voltage Sub-Transmission Expansion Sector
OFID,2012,2979/8264/0468,8264,42361-014,Medium-Voltage Sub-Transmission Expansion Sector
OFID,2012,2979/8264/0468,0468,42361-014,Medium-Voltage Sub-Transmission Expansion Sector
P.R.C.,2012,2962,2962,43031-013,Hunan Xiangjiang Inland Waterway Transport
SCF-PPCR,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
SCF-PPCR,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
SCF-PPCR,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
SCF-PPCR,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
SCF-PPCR,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
SCF-PPCR,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
SCF-PPCR,2012,2970/0330/8262,2970,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
SCF-PPCR,2012,2970/0330/8262,0330,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
SCF-PPCR,2012,2970/0330/8262,8262,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
SCF-PPCR,2012,2970/0330/8262,2970,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
SCF-PPCR,2012,2970/0330/8262,0330,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
SCF-PPCR,2012,2970/0330/8262,8262,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
SCF-PPCR,2012,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
SCF-PPCR,2012,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
SCF-PPCR,2012,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
SCF-PPCR,2012,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
SCF-PPCR,2012,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
SCF-PPCR,2012,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
SCF-PPCR,2012,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
SCF-PPCR,2012,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
Sweden,2012,2695/0323,2695,39298-013,City Region Development - Additional Financing
Sweden,2012,2695/0323,0323,39298-013,City Region Development - Additional Financing
Sweden,2012,2878/0298,2878,42177-013,Urban Primary Health Care Services Delivery
Sweden,2012,2878/0298,0298,42177-013,Urban Primary Health Care Services Delivery
UFPF-UEIF,2012,2931/G0313-0314,2931,43319-022,Greater Mekong Subregion East-West Economic Corridor Towns Development
UFPF-UEIF,2012,2969/0329,2969,43319-043,Greater Mekong Subregion Corridor Towns Development
UFPF-UEIF,2012,2969/0329,0329,43319-043,Greater Mekong Subregion Corridor Towns Development
UFPF-UEIF,2012,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
UFPF-UEIF,2012,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
UFPF-UEIF,2012,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
UFPF-UEIF,2012,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
U.K.,2012,0305-0306/0368,0368,36172-063,Strengthening Public Management Program
WHO,2012,2963,2963,45009-002,Fifth Health Sector Development
World Bank,2012,2942,2942,46093-001,Inclusive Growth through Improved Connectivity Program - Subprogram 1
ADFD,2013,2990/2991,2990,43281-013,Tanahu Hydropower
ADFD,2013,2990/2991,2991,43281-013,Tanahu Hydropower
AIF,2013,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission Crossing
AIF,2013,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission Crossing
AITF,2013,0374/0375,0374,46392-001,North-South Power Transmission Enhancement
AITF,2013,0374/0375,0375,46392-001,North-South Power Transmission Enhancement
Australia,2013,336,0336,45303-001,Rural Energy
Australia,2013,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable Energy
Australia,2013,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable Energy
Australia,2013,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable Energy
Australia,2013,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable Energy
Australia,2013,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable Energy
Australia,2013,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
Australia,2013,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
Australia,2013,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
Australia,2013,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
Australia,2013,3013/0353,3013,40255-033,Central Mekong Delta Region Connectivity 
Australia,2013,3013/0353,0353,40255-033,Central Mekong Delta Region Connectivity 
Canada,2013,2928/0343,2928,42099-013,Polytechnic Education Development
Canada,2013,2928/0343,0343,42099-013,Polytechnic Education Development
CEF-CEFPF,2013,0370/0371/0373,0370,46044-002,Renewable Energy Development and Power Sector Rehabilitation
CEF-CEFPF,2013,0370/0371/0373,0371,46044-002,Renewable Energy Development and Power Sector Rehabilitation
CEF-CEFPF,2013,0370/0371/0373,0373,46044-002,Renewable Energy Development and Power Sector Rehabilitation
CEF-CEFPF,2013,3015/0354/8272,3015,41074-013, West Kalimantan Power Grid Strengthening
CEF-CEFPF,2013,3015/0354/8272,0354,41074-013, West Kalimantan Power Grid Strengthening
CEF-CEFPF,2013,3015/0354/8272,8272,41074-013, West Kalimantan Power Grid Strengthening
CTF,2013,3052/8275,3052,45224-003,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1
CTF,2013,3052/8275,8275,45224-003,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1
EDB,2013,3056/0366,3056,45169-001,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4"
EDB,2013,3056/0366,0366,45169-001,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4"
EIB,2013,2990/2991,2990,43281-013,Tanahu Hydropower
EIB,2013,2990/2991,2991,43281-013,Tanahu Hydropower
EIB,2013,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3
EIB,2013,3051/8292,3051,42173-013,Dhaka Environmentally Sustainable Water Supply
EIB,2013,3051/8292,8292,42173-013,Dhaka Environmentally Sustainable Water Supply
EIB,2013,3098/3099/0380,3098,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
EIB,2013,3098/3099/0380,3099,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
EIB,2013,3098/3099/0380,0380,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
France,2013,2920/8273,2920,44507-003,Public-Private Partnership Support - Additional Cofinancing
France,2013,2920/8273,8273,44507-003,Public-Private Partnership Support - Additional Cofinancing
France,2013,3015/0354/8272,3015,41074-013, West Kalimantan Power Grid Strengthening
France,2013,3015/0354/8272,0354,41074-013, West Kalimantan Power Grid Strengthening
France,2013,3015/0354/8272,8272,41074-013, West Kalimantan Power Grid Strengthening
France,2013,3051/8292,3051,42173-013,Dhaka Environmentally Sustainable Water Supply
France,2013,3051/8292,8292,42173-013,Dhaka Environmentally Sustainable Water Supply
France,2013,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
France,2013,3087,3087,42378-016,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2
GAFSP,2013,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
GAFSP,2013,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
GAFSP,2013,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
GAFSP,2013,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
