Year,Loan / Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total,ADB Approval
1978,0361,LAO,Forestry Development,,0.00,8.00,0.00,0.00,8.00,UNDP,0.59,0.00,0.59,24-Oct-1978
1978,0387,NEP,Integrated Rural Development,,0.00,14.00,0.00,0.00,14.00,EC,0.00,3.75,16.75,20-Dec-1978
1978,0387,NEP,Integrated Rural Development,,,,,,,IFAD,0.00,13.00,,
1978,0365,THA,Kud Multipurpose,,1.38,0.00,0.00,0.00,1.38,UNDP,0.20,0.00,0.20,14-Nov-1978
1978,0371,PHI,Laguna de Bay Fish Pen Development,,9.00,0.00,0.00,0.00,9.00,OFID,0.00,4.50,4.50,01-Dec-1978
1978,0378,BAN,Pabna Irrigation and Rural Development,,0.00,38.00,0.00,0.00,38.00,IFAD,0.00,30.00,30.00,12-Dec-1978
1978,0390-0391,PAK,Pipri Thermal Generation,,0.00,60.00,0.00,0.00,60.00,OFID,0.00,15.70,107.70,22-Dec-1978
1978,0390-0391,PAK,Pipri Thermal Generation,,,,,,,Saudi Fund for Development,0.00,92.00,,
1978,0349,MYA,Pyinmana Integrated Sugar,,0.00,31.50,0.00,0.00,31.50,OFID,0.00,6.50,6.50,22-Aug-1978
1978,0339,MYA,Second Fisheries Development,,0.00,26.00,0.00,0.00,26.00,EC,0.00,1.12,1.12,06-Feb-1978
1978,0351,PHI,Second Manila Water Supply,,49.00,0.00,0.00,0.00,49.00,IBRD,0.00,85.00,85.00,07-Sep-1978
1978,0345,FIJ,Second Power,,16.20,0.00,0.00,0.00,16.20,CDC,0.00,9.10,39.50,29-Jun-1978
1978,0345,FIJ,Second Power,,,,,,,EIB,0.00,14.80,,
1978,0345,FIJ,Second Power,,,,,,,IBRD,0.00,15.60,,
1978,0388,NEP,Second Tribhuvan International Airport,,0.00,11.00,0.00,0.00,11.00,OFID,0.00,5.00,5.00,22-Dec-1978
1978,0389/8030,INO,South-East Sulawesi Transmigration and  Area Development,,34.30,0.00,0.00,0.00,34.30,EC,5.99,0.00,16.00,22-Dec-1978
1978,0389/8030,INO,South-East Sulawesi Transmigration and  Area Development,,,,,,,IsDB,0.00,10.01,,
1978,0372,MAL,Trengganu Hydropower,,45.40,0.00,0.00,0.00,45.40,Australia,0.00,4.50,94.82,05-Dec-1978
1978,0372,MAL,Trengganu Hydropower,,,,,,,JBIC (ODA),0.00,75.62,,
1978,0372,MAL,Trengganu Hydropower,,,,,,,Kuwait Fund for Arab Economic Development,0.00,14.70,,
1979,0396,BAN,Ashuganj Fertilizer (Supplementary),,0.00,25.00,0.00,0.00,25.00,EC,0.00,3.00,87.95,26-Apr-1979
1979,0396,BAN,Ashuganj Fertilizer (Supplementary),,,,,,,Germany,0.00,9.95,,
1979,0396,BAN,Ashuganj Fertilizer (Supplementary),,,,,,,IDA,0.00,29.00,,
1979,0396,BAN,Ashuganj Fertilizer (Supplementary),,,,,,,IFAD,0.00,8.00,,
1979,0396,BAN,Ashuganj Fertilizer (Supplementary),,,,,,,OFID,0.00,10.00,,
1979,0396,BAN,Ashuganj Fertilizer (Supplementary),,,,,,,Switzerland,0.00,5.00,,
1979,0396,BAN,Ashuganj Fertilizer (Supplementary),,,,,,,USA,0.00,23.00,,
1979,0439,PAK,Baluchistan Livestock Development,,0.00,7.50,0.00,0.00,7.50,EC,0.00,8.70,8.70,12-Dec-1979
1979,0417,PHI,Bicol River Basin Irrigation,,41.00,0.00,0.00,0.00,41.00,EC,0.00,6.20,6.20,25-Oct-1979
1979,0426,CAM,Bintulu Deepwater Port,,53.80,0.00,0.00,0.00,53.80,IsDB,0.00,10.20,68.40,23-Nov-1979
1979,0426,CAM,Bintulu Deepwater Port,,,,,,,JBIC (ODA),0.00,58.20,,
1979,0406,PHI,Bukidnon Irrigation,,0.00,15.00,0.00,0.00,15.00,OFID,0.00,3.50,3.50,26-Jul-1979
1979,0418,LAO,Casier Sud Pioneer Agricultural,,0.00,7.00,0.00,0.00,7.00,IFAD,0.00,6.10,6.96,29-Oct-1979
1979,0418,LAO,Casier Sud Pioneer Agricultural,,,,,,,UNDP,0.86,0.00,,
1979,0437,MYA,Cement Industry Program,,0.00,5.20,0.00,0.00,5.20,Germany,0.00,1.35,1.35,12-Dec-1979
1979,0404,BAN,Chittagong Hill Tracts Development,,0.00,28.50,0.00,0.00,28.50,UNDP,0.71,0.00,0.71,28-Jun-1979
1979,0445,NEP,Livestock Development,,0.00,12.28,0.00,0.00,12.28,Australia,0.00,0.89,4.67,19-Dec-1979
1979,0445,NEP,Livestock Development,,,,,,,EC,0.00,3.08,,
1979,0445,NEP,Livestock Development,,,,,,,UNDP,0.70,0.00,,
1979,0440,THA,Mae Moh (Unit 4) Power,,81.80,0.00,0.00,0.00,81.80,OFID,0.00,7.00,45.70,14-Dec-1979
1979,0440,THA,Mae Moh (Unit 4) Power,,,,,,,Saudi Fund for Development,0.00,32.20,,
1979,0440,THA,Mae Moh (Unit 4) Power,,,,,,,Switzerland,0.00,6.50,,
1979,0412,PHI,Manila Port,,27.00,0.00,0.00,0.00,27.00,Germany,0.00,12.25,12.25,27-Sep-1979
1979,0436,SRI,Rural Electrification,,0.00,11.30,0.00,0.00,11.30,OFID,0.00,6.00,6.00,10-Dec-1979
1979,0443,,Second Bangkok Water Supply,,68.00,0.00,0.00,0.00,68.00,JBIC (ODA),0.00,35.00,35.00,17-Dec-1979
1979,0395,MYA,Sedawgyi Hydropower,,0.00,14.60,0.00,0.00,14.60,OFID,0.00,2.00,2.00,24-Apr-1979
1979,0428,PAK,South Rohri Fresh Groundwater Irrigation,,0.00,47.00,0.00,0.00,47.00,IFAD,0.00,16.00,16.00,27-Nov-1979
1979,0447,PNG,Third Power,,0.00,18.60,0.00,0.00,18.60,OFID,0.00,1.30,1.92,21-Dec-1979
1979,0447,PNG,Third Power,,,,,,,UNDP,0.62,0.00,,
1979,0434,INO,Tulungagung Drainage,,39.00,0.00,0.00,0.00,39.00,EC,0.00,8.50,8.50,06-Dec-1979
1979,0414,,Upper Warangoi Hydropower,,12.25,0.00,0.00,0.00,12.25,JBIC (ODA),0.00,14.80,22.55,27-Aug-1979
1979,0414,,Upper Warangoi Hydropower,,,,,,,Norway,0.00,7.75,,
1979,0403,SRI,Urea Fertilizer (Supplementary),,0.00,3.00,0.00,0.00,3.00,Germany,0.00,3.00,5.09,21-Jun-1979
1979,0403,SRI,Urea Fertilizer (Supplementary),,,,,,,Kuwait Fund for Arab Economic Development,0.00,2.09,,
1980,0485,SAM,Agricultural Development,,0.00,3.00,0.00,0.00,3.00,Australia,0.00,2.00,4.00,27-Nov-1980
1980,0485,SAM,Agricultural Development,,,,,,,IDA,0.00,2.00,,
1980,0453,LAO,Agricultural Support Facilities,,0.00,5.85,0.00,0.00,5.85,UNDP,0.63,0.00,0.63,20-Mar-1980
1980,0496,SRI,Anuradhapura Dry Zone Agriculture,,0.00,15.00,0.00,0.00,15.00,IFAD,0.00,14.50,14.50,15-Dec-1980
1980,0462,NEP,Aquaculture Development,,0.00,11.80,0.00,0.00,11.80,UNDP,1.37,0.00,1.37,28-Aug-1980
1980,0508,SOL,Development Bank of Solomon Islands,,0.00,2.00,0.00,0.00,2.00,IDA,0.00,1.50,1.50,22-Dec-1980
1980,0000,INO,Equipment Supply for Local Roads Support Works,,0.00,0.00,0.00,0.00,0.00,JBIC (ODA),0.00,17.40,17.40,29-Jul-1980
1980,0507,SAM,Forestry Development,,0.00,1.74,0.00,0.00,1.74,New Zealand,0.00,1.28,1.28,22-Dec-1980
1980,0489,NEP,Fourth Agricultural Credit,,0.00,15.00,0.00,0.00,15.00,UNDP,1.10,0.00,1.10,12-Sep-1980
1980,0490,NEP,Hill Irrigation (Western Region),,0.00,11.70,0.00,0.00,11.70,UNDP,0.90,0.00,0.90,09-Dec-1980
1980,0505,PAK,Load Despatch and Transmission,,0.00,67.00,0.00,0.00,67.00,EC,0.00,35.00,112.90,22-Dec-1980
1980,0505,PAK,Load Despatch and Transmission,,,,,,,Germany,0.00,18.00,,
