Year,Loan / Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total,ADB Approval
1984,0722,BHU,Second Multiproject,,0.00,7.40,0.00,0.00,7.40,DANIDA,0.00,1.45,2.45,13-Dec-1984
1984,0722,BHU,Second Multiproject,,,,,,,Norway,0.00,1.00,,
1984,0714,BAN,Second Natural Gas Development,,0.00,103.80,0.00,0.00,103.80,Netherlands,0.00,7.80,7.80,06-Dec-1984
1984,0684,BAN,Second Railway,,0.00,46.00,0.00,0.00,46.00,Norway,0.00,17.00,17.99,26-Jun-1984
1984,0684,BAN,Second Railway,,,,,,,UNDP,0.99,0.00,,
1984,0699,BAN,Secondary Science Education Sector,,0.00,37.00,0.00,0.00,37.00,UNDP,3.00,0.00,3.00,23-Oct-1984
1984,0688,INO,Seventh Port (Surabaya Phase II),,86.00,0.00,0.00,0.00,86.00,Saudi Fund for Development,0.00,20.00,20.00,28-Aug-1984
1984,0708,NEP,Sixth Power,,0.00,28.10,0.00,0.00,28.10,Germany,0.00,0.50,0.50,20-Nov-1984
1984,0683,BAN,Sixth Power (Sector Loan),,0.00,120.00,0.00,0.00,120.00,DFID,0.00,22.20,22.20,14-Jun-1984
1984,0701,PAK,Tarbela Hydropower Extension (Units 11 and 12),,0.00,0.00,0.00,0.00,0.00,CIDA,0.00,17.41,41.86,01-Nov-1984
1984,0701,PAK,Tarbela Hydropower Extension (Units 11 and 12),,,,,,,Germany,0.00,24.45,,
1984,0689,MAL,Third Penang Port Expansion,,45.80,0.00,0.00,0.00,45.80,Saudi Fund for Development,0.00,30.00,30.00,28-Aug-1984
1985,0774,BAN,Chhatak Cement Plant Expansion,,15.80,0.00,0.00,0.00,15.80,France,0.00,3.74,3.74,19-Dec-1985
1985,0744,NEP,Cotton Development,,0.00,14.00,0.00,0.00,14.00,UNDP,1.40,0.00,1.40,24-Oct-1985
1985,0762,INO,Forestry Development,,28.00,0.00,0.00,0.00,28.00,Finland,0.00,2.00,2.00,28-Nov-1985
1985,0734,PAK,Gujranwala Agricultural Development,,0.00,28.00,0.00,0.00,28.00,IFAD,0.00,8.50,8.50,19-Feb-1985
1985,0766,VAN,Multi-Project,,0.00,3.00,0.00,0.00,3.00,IDA,0.00,2.00,2.00,05-Dec-1985
1985,0752,SAM,Multiproject Loan,,0.00,4.40,0.00,0.00,4.40,IDA,0.00,2.50,4.20,19-Nov-1985
1985,0752,SAM,Multiproject Loan,,,,,,,OFID,0.00,1.70,,
1985,0772,PAK,Pat Feeder Canal Rehabilitation and Improvement,,117.00,0.00,0.00,0.00,117.00,IFAD,0.00,28.55,33.85,17-Dec-1985
1985,0772,PAK,Pat Feeder Canal Rehabilitation and Improvement,,,,,,,JBIC (ODA),0.00,5.30,,
1985,0759,PAK,Science Education for Secondary Schools Sector,,0.00,28.80,0.00,0.00,28.80,OFID,0.00,5.00,5.00,28-Nov-1985
1985,0768,INO,Second Bandung Urban Development,,132.40,0.00,0.00,0.00,132.40,Netherlands,0.00,6.01,6.01,12-Dec-1985
1985,0739,FIJ,Second Fiji Development Bank,,7.00,0.00,0.00,0.00,7.00,IBRD,0.00,6.50,6.50,16-Jul-1985
1985,0745,NEP,Second Livestock Development,,0.00,14.00,0.00,0.00,14.00,UNDP,1.60,0.00,1.60,24-Oct-1985
1985,0733,BAN,Second Livestock Development,,0.00,39.00,0.00,0.00,39.00,UNDP,3.50,0.00,3.50,05-Feb-1985
1985,0770,PAK,Second Pirkoh Gas Development,,42.00,0.00,0.00,0.00,42.00,Italy,0.00,5.00,5.00,12-Dec-1985
1985,0761,PAK,Second Telecommunications,,69.00,0.00,0.00,0.00,69.00,IBRD,0.00,100.00,101.60,28-Nov-1985
1985,0761,PAK,Second Telecommunications,,,,,,,UNDP,1.60,0.00,,
1985,0736,THA,Shelter Sector,,38.00,0.00,0.00,0.00,38.00,Switzerland,0.00,0.58,0.58,23-Apr-1985
1985,0760,PAK,Tarbela Units 13 & 14 and 500 kV Transmission,,117.80,0.00,0.00,0.00,117.80,Germany,0.00,38.60,48.00,28-Nov-1985
1985,0760,PAK,Tarbela Units 13 & 14 and 500 kV Transmission,,,,,,,Switzerland,0.00,9.40,,
1985,0735,THA,Third Bangkok Water Supply,,130.90,0.00,0.00,0.00,130.90,JBIC (ODA),0.00,88.60,88.60,21-Mar-1985
1985,0749,NEP,Third Forestry Development,,0.00,10.00,0.00,0.00,10.00,UNDP,0.32,0.00,0.32,31-Oct-1985
1986,0813,SAM,Afulilo Hydroelectric,,0.00,5.40,0.00,0.00,5.40,EC,0.00,4.75,10.29,14-Dec-1986
1986,0813,SAM,Afulilo Hydroelectric,,,,,,,EIB,0.00,2.54,,
1986,0813,SAM,Afulilo Hydroelectric,,,,,,,IDA,0.00,3.00,,
1986,0787,THA,Brackishwater Shrimp Culture Development,,11.11,0.00,0.00,0.00,11.11,OFID,0.00,4.00,4.00,11-Sep-1986
1986,0796,BAN,Chittagong Urea Fertilizer (Supplementary),,0.00,26.00,0.00,0.00,26.00,IsDB,0.00,2.23,25.59,13-Nov-1986
1986,0796,BAN,Chittagong Urea Fertilizer (Supplementary),,,,,,,JBIC (ODA),0.00,23.36,,
1986,0791,PAK,Cotton Development,,0.00,66.10,0.00,0.00,66.10,UNDP,4.10,0.00,4.10,30-Sep-1986
1986,0777,MYA,Edible Oil,,0.00,35.00,0.00,0.00,35.00,UNDP,0.68,0.00,0.68,04-Feb-1986
1986,0797,INO,Eighth Port,,40.00,0.00,0.00,0.00,40.00,NIB,0.00,14.50,14.50,18-Nov-1986
1986,0802,PHI,Highland Agriculture Development,,18.80,0.00,0.00,0.00,18.80,IFAD,0.00,4.60,4.60,25-Nov-1986
1986,0808,BHU,Highland Livestock Development,,0.00,4.30,0.00,0.00,4.30,Norway,0.00,3.36,3.36,02-Dec-1986
1986,0793,PAK,Karachi Urban Development,,0.00,55.20,0.00,0.00,55.20,IDA,0.00,69.87,69.87,14-Oct-1986
1986,0819,BAN,Khulna Coastal Embankment,,0.00,16.90,0.00,0.00,16.90,UNDP,1.20,0.00,1.20,11-Dec-1986
1986,0828,THA,Mae Moh (Unit 9) Power,,38.40,0.00,0.00,0.00,38.40,JBIC (ODA),0.00,6.28,6.28,23-Dec-1986
1986,0806,NEP,Road Improvement,,0.00,30.00,0.00,0.00,30.00,OFID,0.00,4.00,4.00,02-Dec-1986
1986,0790,BHU,Roadworks Mechanization,,0.00,4.50,0.00,0.00,4.50,UNCDF,0.00,1.20,2.75,30-Sep-1986
1986,0790,BHU,Roadworks Mechanization,,,,,,,UNDP,1.55,0.00,,
1986,0810,PAK,Second Agricultural Dev. Bank of Pakistan,,0.00,100.00,0.00,0.00,100.00,UNDP,0.96,0.00,0.96,04-Dec-1986
1986,0821,BAN,Second Aquaculture Development,,0.00,42.81,0.00,0.00,42.81,UNDP,2.65,0.00,2.65,16-Dec-1986
1986,0792,NEP,Second Aquaculture Development,,0.00,11.00,0.00,0.00,11.00,IFAD,0.00,5.00,5.96,09-Oct-1986
1986,0792,NEP,Second Aquaculture Development,,,,,,,UNDP,0.96,0.00,,
1986,0788,LAO,Second Road Improvement,,0.00,12.00,0.00,0.00,12.00,UNDP,1.20,0.00,1.20,16-Sep-1986
1986,0786,KIR,Tarawa Power,,0.00,0.70,0.00,0.00,0.70,Australia,0.16,0.00,0.16,21-Aug-1986
1986,0824,PAK,WAPDA Tenth Power (Sector),,300.00,0.00,0.00,0.00,300.00,Belgium,0.00,7.10,388.10,01-Nov-1986
1986,0824,PAK,WAPDA Tenth Power (Sector),,,,,,,Czechoslovakia,0.00,46.00,,
1986,0824,PAK,WAPDA Tenth Power (Sector),,,,,,,Germany,0.00,175.00,,
1986,0824,PAK,WAPDA Tenth Power (Sector),,,,,,,IBRD,0.00,100.00,,
1986,0824,PAK,WAPDA Tenth Power (Sector),,,,,,,USAID,0.00,60.00,,
1987,0845,PRC,China Investment Bank,,100.00,0.00,0.00,0.00,100.00,UNDP,0.40,0.00,0.40,08-Oct-1987
1987,0838,PAK,Chitral Area Development,,0.00,23.50,0.00,0.00,23.50,IFAD,0.00,11.10,11.10,27-Aug-1987
1987,0831,NEP,Fifth Agricultural Credit (ADB IV),,0.00,24.00,0.00,0.00,24.00,UNDP,0.20,0.00,0.20,07-Apr-1987
1987,0851,PAK,Fruit and Vegetable Marketing,,0.00,22.20,0.00,0.00,22.20,UNDP,1.00,0.00,1.00,29-Oct-1987
1987,0880,PRC,Fuel Conversion,,33.30,0.00,0.00,0.00,33.30,UNDP,0.35,0.00,0.35,21-Dec-1987
1987,0859,NEP,Hill Fruit Development,,0.00,11.79,0.00,0.00,11.79,UNDP,1.04,0.00,1.04,10-Nov-1987
1987,0000,INO,Local Road Dev Project,,0.00,0.00,0.00,0.00,0.00,JBIC (ODA),0.00,84.75,84.75,08-Dec-1987
1987,0869,PAK,Oil and Gas Development,,43.00,0.00,0.00,0.00,43.00,Canada,0.20,0.00,0.20,03-Dec-1987
1987,0858,BAN,"Padma Textile Mills, Ltd.",,2.50,0.00,0.00,0.00,2.50,United Kingdom,0.00,2.50,2.50,10-Nov-1987
1987,0835,INO,Power XIX Sector,,96.00,0.00,0.00,0.00,96.00,JBIC (non-ODA),0.00,27.50,27.50,20-Aug-1987
1987,0857,IND,Railways,,190.00,0.00,0.00,0.00,190.00,JBIC (non-ODA),0.00,110.00,110.00,10-Nov-1987
1987,0839,BAN,Road Improvement,,0.00,137.50,0.00,0.00,137.50,JICA,82.00,0.00,83.20,27-Aug-1987
1987,0839,BAN,Road Improvement,,,,,,,UNDP,1.20,0.00,,
1987,0875,PHI,Second Manila Port,,43.50,0.00,0.00,0.00,43.50,Singapore,0.00,1.70,1.70,15-Dec-1987
1987,0864,SRI,Second Road Improvement,,0.00,36.50,0.00,0.00,36.50,UNDP,0.15,0.00,0.15,24-Nov-1987
1987,0873,SRI,Small and Medium Industries,,0.00,15.00,0.00,0.00,15.00,IDA,0.00,15.00,15.00,08-Dec-1987
1987,0850,PAK,Third Health,,0.00,30.40,0.00,0.00,30.40,DFID,0.00,3.70,3.70,29-Oct-1987
1987,0860-0861,INO,Third Irrigation Sector,,120.00,0.00,0.00,0.00,120.00,Netherlands,0.00,7.50,7.50,17-Nov-1987
1987,0866,LAO,Third Road Improvement,,0.00,19.00,0.00,0.00,19.00,UNDP,1.13,0.00,1.13,24-Nov-1987
1987,0829,BHU,Urban Centers Sewerage,,0.00,3.30,0.00,0.00,3.30,DANIDA,0.00,2.15,2.15,03-Feb-1987
1987,0846,LAO,Xeset Hydropower,,0.00,15.50,0.00,0.00,15.50,Sida,0.00,17.04,18.80,27-Oct-1987
1987,0846,LAO,Xeset Hydropower,,,,,,,UNDP,1.76,0.00,,
1988,9999INO2,INO,Second Untied Loan (17 Bank Projects),,0.00,0.00,0.00,0.00,0.00,JBIC (non-ODA),0.00,576.00,576.00,09-Aug-1988
1988,0884,PHI,Agricultural Technology Education,,0.00,15.86,0.00,0.00,15.86,OFID,0.00,6.50,6.50,08-Mar-1988
1988,0893,IND,"Andhra Petrochemicals, Ltd.",,4.00,0.00,0.00,0.00,4.00,CDC,0.00,3.20,3.20,01-Nov-1988
1988,0896,SRI,Development Financing II,,0.00,40.00,0.00,0.00,40.00,IDA,0.00,40.00,40.00,04-Aug-1988
1988,0888,SRI,Emergency Schools Restoration,,0.00,15.00,0.00,0.00,15.00,CIDA,4.00,0.00,4.00,30-Jun-1988
1988,0882,BAN,Flood Rehabilitation (Flood Control & Rehab),,0.00,14.30,0.00,0.00,14.30,UNDP,0.08,0.00,0.08,04-Feb-1988
1988,0889,PHI,Forestry Sector Program,,0.00,120.00,0.00,0.00,120.00,Finland,0.00,0.92,120.92,28-Jun-1988
1988,0889,PHI,Forestry Sector Program,,,,,,,JBIC (ODA),0.00,120.00,,
1988,0925,PAK,KESC Fifth Power (Sector),,200.00,0.00,0.00,0.00,200.00,DFID,0.00,12.20,112.20,01-Nov-1988
1988,0925,PAK,KESC Fifth Power (Sector),,,,,,,JBIC (non-ODA),0.00,100.00,,
1988,0000,INO,Local Currency Financing for ADB-Assisted Projects,,0.00,0.00,0.00,0.00,0.00,JBIC (ODA),0.00,46.60,46.60,21-Oct-1988
1988,0911,MLD,Male Port Development,,0.00,6.72,0.00,0.00,6.72,OFID,0.00,2.00,6.10,20-Oct-1988
1988,0911,MLD,Male Port Development,,,,,,,UNCDF,0.00,4.10,,
1988,0928,LAO,Nam-Ngum Luang Prabang Power Transmission,,0.00,11.00,0.00,0.00,11.00,Switzerland,0.00,0.96,0.96,06-Dec-1988
1988,0902,PAK,Small-Scale Industry,,50.00,0.00,0.00,0.00,50.00,OFID,0.00,8.00,9.20,22-Sep-1988
1988,0902,PAK,Small-Scale Industry,,,,,,,UNDP,1.20,0.00,,
1989,0993,SRI,Agriculture Rehabilitation,,0.00,22.26,0.00,0.00,22.26,Switzerland,0.00,4.50,4.50,28-Nov-1989
1989,0997,PNG,Agriculture Sector Program,,0.00,80.00,0.00,0.00,80.00,JBIC (ODA),0.00,20.00,20.00,12-Dec-1989
1989,0986,PHI,Angat Water Supply Optimization,,111.07,0.00,0.00,0.00,111.07,IBRD,0.00,52.40,109.29,14-Nov-1989
1989,0986,PHI,Angat Water Supply Optimization,,,,,,,JBIC (ODA),0.00,56.89,,
1989,0963,BAN,Eighth Power,,0.00,165.00,0.00,0.00,165.00,DFID,0.00,98.00,98.00,11-Jul-1989
1989,1003,PAK,"Fauji Fertilizer Co., Ltd.",,30.00,0.00,0.00,0.00,30.00,CDC,0.00,15.00,15.00,19-Dec-1989
1989,0972,PHI,Fisheries Sector Program,,80.00,0.00,0.00,0.00,80.00,JBIC (ODA),0.00,70.00,70.00,26-Sep-1989
1989,0957,PAK,Flood Damage Restoration,,0.00,44.00,0.00,0.00,44.00,IBRD,0.00,40.00,50.00,30-Mar-1989
1989,0957,PAK,Flood Damage Restoration,,,,,,,IsDB,0.00,10.00,,
1989,1009,LAO,Fourth Road Improvement,,0.00,39.00,0.00,0.00,39.00,UNDP,0.30,0.00,0.30,21-Dec-1989
1989,0990,TON,Fourth Tonga Development Bank,,0.00,5.00,0.00,0.00,5.00,IDA,0.00,3.00,3.00,29-Nov-1989
1989,0991,PHI,Hopewell Energy (Phils.) Corp.,,10.00,0.00,0.00,0.00,10.00,IFC 'A',0.00,10.00,10.00,23-Nov-1989
1989,1010,BAN,Horticulture Development,,0.00,22.60,0.00,0.00,22.60,UNDP,2.80,0.00,2.80,21-Dec-1989
1989,1001,PAK,Karachi Sewerage,,0.00,85.00,0.00,0.00,85.00,DFID,0.00,2.40,2.40,14-Dec-1989
1989,1005,FIJ,Low Income Housing Development,,9.60,0.00,0.00,0.00,9.60,IBRD,0.00,16.20,17.80,21-Dec-1989
1989,1005,FIJ,Low Income Housing Development,,,,,,,JICA,1.30,0.00,,
1989,1005,FIJ,Low Income Housing Development,,,,,,,UNDP,0.30,0.00,,
1989,0951,INO,Ninth Port,,22.00,0.00,0.00,0.00,22.00,JBIC (non-ODA),0.00,12.60,12.60,07-Feb-1989
1989,0977,PAK,Primary Education (Girls) Sector,,0.00,64.20,0.00,0.00,64.20,Norway,4.50,0.00,4.50,26-Oct-1989
1989,0943,THA,Second Highway (Sector),,110.00,0.00,0.00,0.00,110.00,IBRD,0.00,87.00,117.50,12-Jan-1989
1989,0943,THA,Second Highway (Sector),,,,,,,JBIC (ODA),0.00,30.50,,
1989,0960,SAM,Second Telecommunications,,0.00,7.40,0.00,0.00,7.40,IDA,0.00,4.60,4.70,01-Jun-1989
1989,0960,SAM,Second Telecommunications,,,,,,,ITU,0.10,0.00,,
1989,0976,PAK,Swabi Salinity Control and Reclamation Project,,0.00,95.60,0.00,0.00,95.60,SDC,0.00,15.10,15.10,26-Oct-1989
1989,0974,NEP,Technical Education and Vocational Training Development,,0.00,12.58,0.00,0.00,12.58,OFID,0.00,2.50,6.87,28-Sep-1989
1989,0974,NEP,Technical Education and Vocational Training Development,,,,,,,Switzerland,0.00,4.37,,
1989,0966,INO,Tenth Road (Sector),,120.00,0.00,0.00,0.00,120.00,JBIC (non-ODA),0.00,50.00,50.00,10-Aug-1989
1989,9999INO3,INO,Third Untied Loan (11 Bank Projects),,0.00,0.00,0.00,0.00,0.00,JBIC (non-ODA),0.00,350.00,350.00,15-Dec-1989
1989,0956,BAN,Upazila Afforestation and Nursery Development,,0.00,43.50,0.00,0.00,43.50,UNDP,1.90,0.00,1.90,30-Mar-1989
1990,1044,PAK,Agricultural Credit,,0.00,150.00,0.00,0.00,150.00,IFAD,0.00,25.00,175.00,06-Nov-1990
1990,1044,PAK,Agricultural Credit,,,,,,,World Bank,0.00,150.00,,
1990,1071,BAN,Agriculture and Rural Credit,,0.00,60.00,0.00,0.00,60.00,IDA,0.00,50.00,53.00,01-Nov-1990
1990,1071,BAN,Agriculture and Rural Credit,,,,,,,USAID,0.00,3.00,,
1990,1065,PHI,Avantex Mill Corporation,,8.00,0.00,0.00,0.00,8.00,IFC 'A',0.00,11.25,11.25,11-Dec-1990
1990,1036,IND,Calcutta Electric Supply Co. Ltd. (CESC),,17.80,0.00,0.00,0.00,17.80,IFC 'A',0.00,20.00,20.00,04-Oct-1990
1990,1045,BAN,Food Crops Development Program,,0.00,125.00,0.00,0.00,125.00,IDA,0.00,75.00,75.00,06-Nov-1990
1990,1031,COO,Outer Islands Telecommunications,,0.00,4.90,0.00,0.00,4.90,Export Financing and Insurance Corp.,0.00,2.70,2.70,20-Sep-1990
1990,1032,INO,Power XX,,235.00,0.00,0.00,0.00,235.00,JBIC (non-ODA),0.00,83.28,83.28,25-Sep-1990
1990,1047,PHI,Road and Road Transport Program,,100.00,0.00,0.00,0.00,100.00,JBIC (ODA),0.00,100.00,100.00,08-Nov-1990
1990,1067,BAN,Rural Women Employment Creation,,0.00,8.24,0.00,0.00,8.24,Norway,0.85,0.00,0.85,01-Nov-1990
1990,1012,PAK,Second Barani Area Development,,0.00,25.00,0.00,0.00,25.00,IFAD,0.00,19.40,20.09,20-Feb-1990
1990,1012,PAK,Second Barani Area Development,,,,,,,UNDP,0.69,0.00,,
1990,1034,PHI,Second Palawan Integrated Area Development,,58.00,0.00,0.00,0.00,58.00,EC,0.00,9.90,9.90,27-Sep-1990
1990,1038,SRI,Second Telecommunications,,0.00,41.10,0.00,0.00,41.10,IBRD,0.00,58.00,58.00,18-Oct-1990
1990,1042,PHI,Sixteenth Power (Masinloc Thermal Power),,200.00,0.00,0.00,0.00,200.00,JBIC (non-ODA),0.00,150.00,150.00,30-Oct-1990
1990,1070,BAN,Small and Cottage Industry,,0.00,30.00,0.00,0.00,30.00,USAID,0.00,0.27,0.27,18-Dec-1990
1990,1037,NEP,Small Farmers Development III,,0.00,30.00,0.00,0.00,30.00,GTZ,1.00,0.00,1.00,04-Oct-1990
1990,1035,BHU,Technical and Vocational Education and Training,,0.00,7.13,0.00,0.00,7.13,UNDP,2.10,0.00,2.10,27-Sep-1990
1990,1027,THA,Third Highway (Sector),,35.00,0.00,0.00,0.00,35.00,JBIC (ODA),0.00,97.00,97.00,28-Aug-1990
1990,1025,PAK,Third Telecommunications,,115.00,0.00,0.00,0.00,115.00,France,0.00,15.00,45.00,16-Aug-1990
1990,1025,PAK,Third Telecommunications,,,,,,,KfW,0.00,30.00,,
1990,1022,THA,Transmission System for Mae Moh Power (Units 10 & 11),,48.80,0.00,0.00,0.00,48.80,KfW,0.00,15.70,15.70,05-Jun-1990
1990,1063,LAO,Xeset Hydropower (Supplementary),,0.00,3.00,0.00,0.00,3.00,Norway,0.00,1.00,8.11,11-Dec-1990
1990,1063,LAO,Xeset Hydropower (Supplementary),,,,,,,Sida,0.00,6.23,,
1990,1063,LAO,Xeset Hydropower (Supplementary),,,,,,,UNDP,0.88,0.00,,
1991,1111,INO,Bogor and Palembang Urban Dev,,126.50,0.00,0.00,0.00,126.50,KfW,0.00,7.30,7.30,31-Oct-1991
1991,1142,IND,CESC Limited II,,32.00,0.00,0.00,0.00,32.00,CDC,0.00,32.00,64.00,13-Dec-1991
1991,1142,IND,CESC Limited II,,,,,,,IFC 'A',0.00,32.00,,
1991,1146,PAK,Chasma Right Bank Irrigation III,,185.00,0.00,0.00,0.00,185.00,KfW,0.00,43.00,43.00,17-Dec-1991
1991,1103,LAO,Education Quality Improvement,,0.00,13.30,0.00,0.00,13.30,Norway,2.00,0.00,2.00,26-Sep-1991
1991,1098,THA,Fourth Highway (Sector),,60.00,0.00,0.00,0.00,60.00,IBRD,0.00,87.00,159.12,17-Sep-1991
1991,1098,THA,Fourth Highway (Sector),,,,,,,JBIC (ODA),0.00,72.12,,
1991,1117,IND,Gandhar Field Development,,267.00,0.00,0.00,0.00,267.00,IBRD,0.00,14.40,14.40,14-Nov-1991
1991,1123,BAN,Higher Secondary Education,,0.00,49.20,0.00,0.00,49.20,UNDP,2.90,0.00,2.90,21-Nov-1991
1991,1148,IND,Hydrocarbon Sector Program,,250.00,0.00,0.00,0.00,250.00,JBIC (ODA),0.00,250.00,250.00,17-Dec-1991
1991,1101,PAK,Kotri Barrage Rehabilitation,,0.00,16.71,0.00,0.00,16.71,DFID,0.00,15.80,15.80,26-Sep-1991
1991,1141,NEP,Primary Education Development,,0.00,19.50,0.00,0.00,19.50,Norway,0.00,1.40,1.40,05-Dec-1991
1991,1137/1633(L)/1842(L),PHI,Second NGO Microcredit,,0.00,30.00,0.00,0.00,30.00,Norway,3.00,0.00,3.00,28-Nov-1991
1991,1084,SRI,Second Small and Medium Industries,,0.00,30.00,0.00,0.00,30.00,IDA,0.00,45.00,45.00,30-May-1991
1991,1085,PHI,Shemberg Biotech Corporation,,4.80,0.00,0.00,0.00,4.80,CDC,0.00,4.70,4.70,06-Jun-1991
1991,1112,NEP,Sixth Agricultural Credit,,0.00,35.00,0.00,0.00,35.00,UNDP,0.69,0.00,0.69,31-Oct-1991
1991,1109,MON,Special Assistance,,0.00,30.00,0.00,0.00,30.00,IBRD,0.00,30.00,60.00,29-Oct-1991
1991,1109,MON,Special Assistance,,,,,,,IMF,0.00,30.00,,
1991,1081,IND,Special Assistance,,150.00,0.00,0.00,0.00,150.00,JBIC (ODA),0.00,150.00,150.00,04-Apr-1991
1992,1169,THA,Bongkot Gas Transmission,,47.41,0.00,0.00,0.00,47.41,IBRD,0.00,91.88,144.18,02-Jul-1992
1992,1169,THA,Bongkot Gas Transmission,,,,,,,JBIC (non-ODA),0.00,52.30,,
1992,1176,THA,Fifth Highway (Sector),,93.00,0.00,0.00,0.00,93.00,World Bank,0.00,177.50,177.50,18-Aug-1992
1992,1209,PAK,Flood Damage Restoration (Sector),,0.00,77.64,0.00,0.00,77.64,IDA,0.00,139.57,149.57,15-Dec-1992
1992,1209,PAK,Flood Damage Restoration (Sector),,,,,,,KfW,0.00,10.00,,
1992,9999INO,INO,Fourth Untied Loan (5 ADB Projects),,303.50,0.00,0.00,0.00,303.50,JBIC (non-ODA),0.00,200.00,200.00,21-Aug-1992
1992,1162,PRC,Laiwu Iron & Steel Mill Modernization & Expansion,,131.80,0.00,0.00,0.00,131.80,JBIC (non-ODA),0.00,35.00,35.00,31-Mar-1992
1992,1183,SRI,Participatory Forestry,,0.00,10.50,0.00,0.00,10.50,Australia,3.87,0.00,3.87,05-Nov-1992
1992,1161,IND,Power Efficiency (Sector),,500.00,0.00,0.00,0.00,500.00,DFID,0.00,88.73,367.73,26-Mar-1992
1992,1161,IND,Power Efficiency (Sector),,,,,,,IBRD,0.00,265.00,,
1992,1161,IND,Power Efficiency (Sector),,,,,,,USAID,0.00,14.00,,
1992,1172,INO,Power XXII,,272.30,0.00,0.00,0.00,272.30,Germany,0.00,45.70,403.50,04-Aug-1992
1992,1172,INO,Power XXII,,,,,,,World Bank,0.00,357.80,,
1992,1185,PAK,Provincial Highways,,0.00,165.40,0.00,0.00,165.40,NDF,0.00,5.40,5.40,05-Nov-1992
1992,1190,LAO,Rehabilitation & Upgrading Vientiane Water Supply,,0.00,9.50,0.00,0.00,9.50,JICA,19.30,0.00,19.30,17-Nov-1992
1992,1137/1633(L)/1842(L),PHI,Second NGO Microcredit (Supplementary),,0.00,0.00,0.00,0.00,0.00,Netherlands,1.80,0.00,1.80,29-May-1992
1992,1164/8135/8137,FIJ,Second Road Upgrading,,18.00,0.00,0.00,0.00,18.00,IBRD,0.00,15.00,21.50,18-Jun-1992
1992,1164/8135/8137,FIJ,Second Road Upgrading,,,,,,,JBIC (non-ODA),0.00,6.50,,
1992,1196,NEP,Secondary Education Development,,0.00,10.20,0.00,0.00,10.20,DFID,6.30,0.00,6.30,24-Nov-1992
1992,1151,THA,Seventh Power Distribution,,109.00,0.00,0.00,0.00,109.00,IBRD,0.00,109.10,109.10,09-Jan-1992
1992,1199,CAM,Special Rehabilitation Assistance,,0.00,67.70,0.00,0.00,67.70,Sida,3.20,0.00,3.20,26-Nov-1992
1992,1211,PNG,Third Urban Water Supply,,11.30,0.00,0.00,0.00,11.30,International Cooperation and Development Fund (ICDF),0.00,6.70,6.70,15-Dec-1992
1993,1228,SAM,Afulilo Hydroelectric (Supplementary),,0.00,2.00,0.00,0.00,2.00,EC,0.00,1.60,2.60,22-Apr-1993
1993,1228,SAM,Afulilo Hydroelectric (Supplementary),,,,,,,IDA,0.00,1.00,,
1993,1266,LAO,Airports Improvement,,0.00,15.00,0.00,0.00,15.00,France,0.00,2.00,23.90,18-Nov-1993
1993,1266,LAO,Airports Improvement,,,,,,,JICA,4.10,0.00,,
1993,1266,LAO,Airports Improvement,,,,,,,NDF,0.00,6.80,,
1993,1266,LAO,Airports Improvement,,,,,,,NORAD,0.00,1.00,,
1993,1266,LAO,Airports Improvement,,,,,,,OFID,0.00,8.00,,
1993,1266,LAO,Airports Improvement,,,,,,,Thailand,0.00,2.00,,
1993,1252,PHI,Bukidnon Resources Co. Inc.,,4.60,0.00,0.00,0.00,4.60,CDC,0.00,6.80,6.80,21-Sep-1993
1993,1246,THA,Eighth Power Distribution (Sector),,134.60,0.00,0.00,0.00,134.60,World Bank,0.00,110.80,110.80,19-Aug-1993
1993,1255,PAK,Fauji Oil Terminal & Distribution Co.Ltd.,,19.00,0.00,0.00,0.00,19.00,CDC,0.00,18.00,18.00,30-Sep-1993
1993,1222,IND,Gas Flaring Reduction,,241.00,0.00,0.00,0.00,241.00,JBIC (non-ODA),0.00,55.10,505.10,30-Mar-1993
1993,1222,IND,Gas Flaring Reduction,,,,,,,World Bank,0.00,450.00,,
1993,1285,IND,Gas Rehabilitation and Expansion,,157.47,0.00,0.00,0.00,157.47,JBIC (non-ODA),0.00,63.83,63.83,07-Dec-1993
1993,1230,PHI,Hopewell Power (Philippines) Corp.,,40.00,0.00,0.00,0.00,40.00,CDC,0.00,35.00,95.00,18-May-1993
1993,1230,PHI,Hopewell Power (Philippines) Corp.,,,,,,,IFC 'A',0.00,60.00,,
1993,1254,PHI,Nonformal Education,,0.00,19.17,0.00,0.00,19.17,Norway,1.60,0.00,1.60,30-Sep-1993
1993,1227,INO,P.T. Wiraswasta Gemilang Indonesia,,17.00,0.00,0.00,0.00,17.00,CDC,0.00,20.00,20.00,22-Apr-1993
1993,1225,PNG,Population and Family Planning,,0.00,7.11,0.00,0.00,7.11,Australia,10.00,0.00,16.90,01-Apr-1993
1993,1225,PNG,Population and Family Planning,,,,,,,World Bank,6.90,0.00,,
1993,1288,PHI,Power Transmission,,164.00,0.00,0.00,0.00,164.00,KEXIM,0.00,10.70,16.70,14-Dec-1993
1993,1288,PHI,Power Transmission,,,,,,,OFID,0.00,6.00,,
1993,1263,PHI,"Primofina Oleochemicals, Inc",,15.00,0.00,0.00,0.00,15.00,CDC,0.00,10.00,10.00,09-Nov-1993
