,Year,Loan Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total.1,ADB Approval
123,2009,2428/0194,PRC,Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin,,100.0,0.0,0.0,0.0,100.0,GEF,2.98,0.0,2.98,30-Oct-2009
124,2009,2550/0159,PRC,Liaoning Small Cities and Towns Development Demonstration Sector,,100.0,0.0,0.0,0.0,100.0,MDTF-WFPF,0.25,0.0,0.25,18-Sep-2009
126,2009,2168/7/13/75/0193,SRI,North East Community Restoration and Development II (Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,7.28,0.0,7.28,17-Dec-2009
130,2009,2507/0142,PHI,Philippine Energy Efficiency,,31.1,0.0,0.0,0.0,31.1,ACEF,1.5,0.0,1.5,29-Jan-2009
132,2009,1881/3899(L),BAN,Post-Literacy and Continuing Education (Supplementary) 2,,0.0,0.0,0.0,0.0,0.0,SDC,2.5,0.0,2.5,10-Jun-2009
138,2009,2114/0155,TAJ,Regional Customs Modernization and Infrastructure Development,,0.0,10.7,0.0,0.0,10.7,US,1.6,0.0,1.6,12-Aug-2009
140,2009,0049/50,SOL,Road Improvement (Sector) (2nd Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,0.21,0.0,2.08,19-Jan-2009
141,2009,0049/50,SOL,Road Improvement (Sector) (2nd Supplementary),,,,,,,Australia,1.87,0.0,,
142,2009,2015/4209(L),BAN,Second Primary Education Development Program (Supplementary),,0.0,0.0,0.0,0.0,0.0,CIDA,30.0,0.0,30.0,30-Jan-2009
143,2009,0175/0176/0177/0207/0210,SOL,Second Road Improvement (Sector),,0.0,0.0,15.0,0.0,15.0,AUS-PRIF,4.5,0.0,7.84,12-Nov-2009
144,2009,0175/0176/0177/0207/0210,SOL,Second Road Improvement (Sector),,,,,,,EC,3.34,0.0,,
145,2009,2572/0169,PRC,Shaanxi Qinling Biodiversity Conservation and Demonstration,,40.0,0.0,0.0,0.0,40.0,GEF,4.27,0.0,4.27,22-Oct-2009
146,2009,2607/0188/0189,PRC,Shanxi Integrated Agricultural Development,,100.0,0.0,0.0,0.0,100.0,GDCF,0.2,0.0,0.7,16-Dec-2009
147,2009,2607/0188/0189,PRC,Shanxi Integrated Agricultural Development,,,,,,,MDTF-WFPF,0.5,0.0,,
149,2009,2505/7291,PRC,Small Hydropower Development,,58.57,0.0,0.0,0.0,58.57,China CDM Fund,0.0,14.6,65.85,13-Jan-2009
150,2009,2505/7291,PRC,Small Hydropower Development,,,,,,,IFC 'A',0.0,51.25,,
155,2009,2579/0179/8247,NEP,South Asia Tourism Infrastructure Development - Nepal,,0.0,12.75,12.75,0.0,25.5,OFID,0.0,15.0,15.0,16-Nov-2009
157,2009,2511/0147,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,,0.0,72.0,0.0,0.0,72.0,KEXIM,0.0,32.7,34.7,05-Mar-2009
158,2009,2511/0147,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,,,,,,,MDTF-WFPF,1.2,0.0,,
159,2009,2511/0147,VIE,Thanh Hoa City Comprehensive Socioeconomic Development,,,,,,,Netherlands Trust Fund for the Water Financing Partnership Facility,0.8,0.0,,
160,2009,2599/0186/0191/0192/8243,CAM,Tonle Sap Poverty Reduction and Smallholder Development,,0.0,3.4,27.3,0.0,30.7,Finland,5.75,0.0,19.13,08-Dec-2009
161,2009,2599/0186/0191/0192/8243,CAM,Tonle Sap Poverty Reduction and Smallholder Development,,,,,,,IFAD,6.69,6.69,,
162,2009,0167/0170,AFG,Water Resources Development Investment Program - Tranche 1,,0.0,0.0,86.6,0.0,86.6,DFID,3.3,0.0,3.3,06-Oct-2009
164,2010,2500/2501/0216,INO,Citarum Watershed Management and Biodiversity Conservation,,20.0,30.0,0.0,0.0,50.0,GEF,3.75,0.0,3.75,04-Aug-2010
165,2010,2626/0246,SRI,Conflict-Affected Region Emergency,,150.0,0.0,0.0,0.0,150.0,International Federation of Red Cross and Red Crescent Society,1.5,0.0,1.5,15-Apr-2010
169,2010,0118/0206,NEP,Governance Support Program (Subprogram I) (Supplementary),,0.0,0.0,0.0,0.0,0.0,CIDA,8.8,0.0,8.8,12-Apr-2010
171,2010,2372/0095/2988/0337,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary),,0.0,0.0,0.0,0.0,0.0,KEXIM,0.0,70.0,70.0,21-Dec-2010
172,2010,2642/2643/0209,VIE,Health Human Resources Sector Development Program,,0.0,60.0,0.0,0.0,60.0,Australia,11.0,0.0,11.0,22-Jun-2010
176,2010,2632/0202/0203,PRC,Integrated Renewable Biomass Energy Development Sector,,66.08,0.0,0.0,0.0,66.08,CEF-CEFPF,3.0,0.0,16.8,16-Apr-2010
177,2010,2632/0202/0203,PRC,Integrated Renewable Biomass Energy Development Sector,,,,,,,GEF,9.2,0.0,,
