Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
0,Asian Development Bank,Japan,1980,1980.0,,0,,,,INO,Equipment Supply for Local Roads Support Works,SERD,,07/29/1980,0.0,0.0,0.0,,0.0,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
0,Asian Development Bank,Japan,1988,1988.0,,0,,,,INO,Local Currency Financing for ADB-Assisted Projects,SERD,,10/21/1988,0.0,0.0,0.0,,0.0,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
0,Asian Development Bank,Japan,1987,1987.0,,0,,,,INO,Local Road Dev Project,SERD,,12/08/1987,0.0,0.0,0.0,,0.0,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
0,JBIC (ODA),Japan,1980,1980.0,,0,,,,INO,Equipment Supply for Local Roads Support Works,SERD,,07/29/1980,,,,,0.0,,17.4,,17.4,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,07/29/1980,,,,,Sovereign,,,,,
0,JBIC (ODA),Japan,1988,1988.0,,0,,,,INO,Local Currency Financing for ADB-Assisted Projects,SERD,,10/21/1988,,,,,0.0,,46.6,,46.6,Non-DVA,,,Bilateral,Loan,OCR,3900.0,Multisector,3900,,,,,,,10/21/1988,,,,,Sovereign,,,,,
0,JBIC (ODA),Japan,1987,1987.0,,0,,,,INO,Local Road Dev Project,SERD,,12/08/1987,,,,,0.0,,84.75,,84.75,Non-DVA,,,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/08/1987,,,,,Sovereign,,,,,
0016,Asian Development Bank,"Norway,OFID",2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,0.0,0.0,10.0,,10.0,,,,,,,,,,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,no project number,
0016,Asian Development Bank,"Norway,OFID",2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,0.0,0.0,10.0,,10.0,,,,,,,,,,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,no project number,
0016,NORAD,Norway,2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,,,,,0.0,1.7,,,1.7,Non-DVA,,,Bilateral,Grant,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,08/25/2005,,,,,Sovereign,,,,[ADF Grant 016] Nkr 11.05 m parallel cofinancing was approved.  To be adj from $1.7 to 2.55 ref supp grant RRP.  Dec 2010,
0016,OFID,OFID,2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,,,,,0.0,,9.0,,9.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,08/25/2005,02/10/1970,,05/31/1976,,Sovereign,,,,,
0025-0027,Asian Development Bank,WHO,2005,2005.0,,0025-0027,,,,REG,GMS: Regional Communicable Diseases Control,SERD,SESS,11/21/2005,0.0,30.0,0.0,,30.0,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Regional Cooperation,,,,,,,,,,,,,
0025-0027,WHO,WHO,2005,2005.0,,0025-0027,,,,REG,GMS: Regional Communicable Diseases Control,SERD,SESS,11/21/2005,,,,,0.0,0.9,,,0.9,Non-DVA,,,Multilateral,Grant,ADF,3400.0,Health and Social Protection,,,,,,,,11/21/2005,,,,,Sovereign,,,,,
0034,Asian Development Bank,Finland,2005,2005.0,,0034/0035,,,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,0.0,0.0,15.0,,15.0,,,,,,,,,,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,Partly successful,,,no project number,
0034,Finland,Finland,2005,2005.0,35,0034/0035,,,,CAM,Tonle Sap Sustainable Livelihoods,SERD,SEAE,12/21/2005,,,,,0.0,4.74,,,4.74,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,,,,12/21/2005,03/03/1971,,12/29/1977,,Sovereign,Partly successful,,,,
0048,Asian Development Bank,OFID,1978,1978.0,,0048/8008,,,,VIE,Fisheries Development,SERD,SEER,04/26/1978,,,,,0.0,,,,,,,,,,,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
0048,OFID,OFID,1978,1978.0,8008,0048/8008,,,,VIE,Fisheries Development,SERD,SEER,04/26/1978,,,,,0.0,,7.0,,7.0,DVA,,Partial Administration,Multilateral,Loan,,3000.0,Agriculture and Natural Resources,,,,,,,,04/26/1978,,,,,Sovereign,,,,,
0049,Asian Development Bank,"Australia,New Zealand",2006,2006.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,0.0,0.0,0.35,,0.35,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049,Asian Development Bank,Australia,2009,2009.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,0.0,0.0,0.0,,0.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
0049,Asian Development Bank,"Australia,New Zealand",2012,2012.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,0.0,0.0,0.0,,0.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,3701,Road Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,
0049,Asian Development Bank,Australia,2008,2008.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,0.0,0.0,0.0,,0.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
0049,Asian Development Bank,"Australia,New Zealand",2006,2006.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,0.0,0.0,0.35,,0.35,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049,Asian Development Bank,"Australia,New Zealand",2012,2012.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,0.0,0.0,0.0,,0.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,3701,Road Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,
0049,Australia,Australia,2006,2006.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,,,,,0.0,6.1,,,6.1,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,08/08/2006,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049,Australia,Australia,2009,2006.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,,,,,0.0,0.21,,,0.21,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,01/19/2009,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049,Australia,Australia,2009,2009.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,,,,,0.0,1.87,,,1.87,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,05/20/2009,,,,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049,Australia,"Australia,Australia",2012,2012.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,,,,,0.0,0.74,,,0.74,DVA,PS,Full Administration,Bilateral,Grant,,3700.0,Transport and ICT,,Road Transport,,,,Yes,,11/27/2012,,,,,Sovereign,Successful,,,"$743,331.01 actual amount","DR 2011. Case Study Brief on grant cof, pp 16."
0049,Australia,Australia,2008,2008.0,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,,,,,0.0,0.47,,,0.47,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,Yes,,04/30/2008,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049,NZAID,New Zealand,2006,2006.0,50,0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,,,,,0.0,9.75,,,9.75,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,08/08/2006,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049,New Zealand,New Zealand,2012,2012.0,50,0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,,,,,0.0,0.89,,,0.89,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,Road Transport,,,,Yes,,11/27/2012,,,,,Sovereign,Successful,,,"$892,603 amount approved","DR 2011. Case Study Brief on grant cof, pp 16."
0051,Asian Development Bank,OFID,2006,2006.0,,0051/8231,,,,NEP,Road Connectivity Sector I,SARD,,08/10/2006,0.0,0.0,55.2,,55.2,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,no project number,
0051,OFID,OFID,2006,2006.0,8231,0051/8231,,,,NEP,Road Connectivity Sector I,SARD,,08/10/2006,,,,,0.0,,10.0,,10.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,,,,,,08/10/2006,05/12/1971,,06/09/1976,,Sovereign,,,,,
0056,Asian Development Bank,OFID,1977,1977.0,,0056/8003,35297,,,PHI,Cotabato-General Santos Road,SERD,SETC,08/03/1977,10.6,0.0,0.0,,10.6,,,,,,,,,,OCR,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,"original date was 1970, changed to 1977 per MF",
0056,OFID,OFID,1977,1977.0,8003,0056/8003,35297,,,PHI,Cotabato-General Santos Road,SERD,,08/03/1977,,,,,0.0,,8.25,,8.25,DVA,,Partial Administration,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,08/03/1977,03/26/1971,,10/12/1978,,Sovereign,,,,,
0082,Asian Development Bank,"Australia,Korea,OFID",2007,2007.0,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,0.0,0.0,27.0,,27.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,no project number,
0082,Asian Development Bank,"Australia,Korea,OFID",2007,2007.0,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,0.0,0.0,27.0,,27.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,no project number,
0082,Asian Development Bank,"Australia,Korea,OFID",2007,2007.0,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,0.0,0.0,27.0,,27.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,no project number,
0082,Australia,Australia,2007,2007.0,82,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0.0,14.5,,,14.5,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,09/27/2007,02/25/1972,,07/09/1975,,Sovereign,,,,,
0082,KEXIM,Korea,2007,2007.0,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0.0,,22.4,,22.4,Non-DVA,,,Bilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,,,,,,09/27/2007,,,,,Sovereign,,,,,
0082,OFID,OFID,2007,2007.0,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0.0,,11.0,,11.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,,,,,,09/27/2007,02/25/1972,,07/09/1975,,Sovereign,,,,,
0093,Asian Development Bank,OFID,2007,2007.0,,0093/8234,,,,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,SARD,,12/12/2007,0.0,0.0,50.0,,50.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,,,,,,,,,,Successful,,,no project number,
0093,Asian Development Bank,U.K.,2008,2008.0,,0093/8234,,,,NEP,Rural Reconstruction and Rehabilitation Sector Development (Supplementary),SARD,,11/11/2008,0.0,0.0,0.0,,0.0,,,,,,,,,,ADF Grant,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,no project number,
0093,DFID,U.K.,2008,2008.0,93,0093/8234,,,,NEP,Rural Reconstruction and Rehabilitation Sector Development (Supplementary),SARD,,11/11/2008,,,,,0.0,20.0,,,20.0,DVA,,Partial Administration,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,11/11/2008,08/29/1972,,12/08/1976,,Sovereign,Successful,,,partial admin based on advise from Central Service Unit ,
0093,OFID,OFID,2007,2007.0,8234,0093/8234,,,,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,SARD,,12/12/2007,,,,,0.0,,10.0,,10.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/12/2007,,,,,Sovereign,Successful,,,OFID will jointly finance rural road civil works.  Revised proj cost 106.8 ref R 242-08.,
0093,SDC,Switzerland,2007,2008.0,,0093/8234,,,,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,SARD,,12/12/2007,,,,,0.0,1.5,,,1.5,Non-DVA,,,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/12/2007,,,,,Sovereign,Successful,,,,
0118,Asian Development Bank,Canada,2010,2010.0,206,0118/0206,,,,NEP,Governance Support Program (Subprogram I) (Supplementary),SARD,,04/12/2010,0.0,0.0,0.0,,0.0,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,,,,supplementary to G-0118; no project number ,
0118,Asian Development Bank,"Denmark,Norway,Switzerland,U.K.",2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,0.0,,106.3,,106.3,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Successful,,,PCR 2014,DR 2010. para on governance pp 41.
0118,Asian Development Bank,"Denmark,Norway,Switzerland,U.K.",2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,0.0,,106.3,,106.3,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Successful,,,PCR 2014,DR 2010. para on governance pp 41.
0118,Asian Development Bank,OFID,1972,1972.0,,0118/8002,,,,SRI,Bowatenna Power,SARD,SAID,12/19/1972,0.0,8.0,0.0,,8.0,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
0118,Asian Development Bank,"Denmark,Norway,Switzerland,U.K.",2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,0.0,,106.3,,106.3,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Successful,,,PCR 2014,DR 2010. para on governance pp 41.
0118,Asian Development Bank,"Denmark,Norway,Switzerland,U.K.",2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,0.0,,106.3,,106.3,,,,,,,,,,ADF,3600.0,Public Sector Management,,,,,,,,,,,,,,Successful,,,PCR 2014,DR 2010. para on governance pp 41.
0118,CIDA,Canada,2010,2010.0,206,0118/0206,,,,NEP,Governance Support Program (Subprogram I) (Supplementary),SARD,,04/12/2010,,,,,0.0,8.8,,,8.8,DVA,,Full Administration,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,04/12/2010,,,,,Sovereign,Successful,,, THIS GRANT IS SUPPL TO G-0118 ,DR 2010. para on governance pp 41.
0118,DFID,U.K.,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,30.0,,,30.0,Non-DVA,,,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,,DR 2010. para on governance pp 41.
0118,Denmark,Denmark,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,12.0,,,12.0,Non-DVA,,,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,"$15m in the RRP, ref 5Mar09 SARD email, amt was revised to $12m.",DR 2010. para on governance pp 41.
0118,Norway,Norway,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,6.6,,,6.6,Non-DVA,,,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,"$10m in the RRP, ref 5Mar09 SARD email, amt was revised to $6.6m.",DR 2010. para on governance pp 41.
0118,OFID,OFID,1972,1972.0,8002,0118/8002,,,,SRI,Bowatenna Power,SARD,SAID,12/19/1972,,,,,0.0,,3.15,,3.15,DVA,,Partial Administration,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/19/1972,03/26/1973,,08/29/1979,,Sovereign,,,,,
0118,SDC,Switzerland,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,3.4,,,3.4,Non-DVA,,,Bilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,"$4m in the RRP, ref 5Mar09 SARD email, amt was revised to $3.4m.",DR 2010. para on governance pp 41.
0118,UNCDF,UNCDF,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,2.25,,,2.25,Non-DVA,,,Multilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,"$2m in the RRP, ref 5Mar09 SARD email, amt was revised to $2.25m.",DR 2010. para on governance pp 41.
0118,UNDP,UNDP,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,4.7,,,4.7,Non-DVA,,,Multilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,"$5m in the RRP, ref 5Mar09 SARD email, amt was revised to $4.7m.",DR 2010. para on governance pp 41.
0118,UNFPA,UNFPA,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,9.15,,,9.15,Non-DVA,,,Multilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,"$9 in the RRP, ref 5Mar09 SARD email, amt was revised to $9.15m.",DR 2010. para on governance pp 41.
0118,UNICEF,UNICEF,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,13.9,,,13.9,Non-DVA,,,Multilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,"$8.5 in the RRP, ref 5Mar09 SARD email, amt was revised to $13.9m.",DR 2010. para on governance pp 41.
0118,United Nations Volunteers,United Nations Volunteers,2008,2008.0,,0118/0206,,,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0.0,0.5,,,0.5,Non-DVA,,,Multilateral,Grant,ADF,3600.0,Public Sector Management,,,,,,,,10/22/2008,,,,,Sovereign,Successful,,,,DR 2010. para on governance pp 41.
0126,AITF,AITF,2015,2015.0,437,0126/0437,39370-023,,,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,,,,,0.0,11.0,,,11.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3000.0,"Agriculture, Natural Resources and Rural Development",,Livestock,,,,Yes,,09/25/2015,,,,,Sovereign,,,,,
0126,Asian Development Bank,AITF,2015,2015.0,437,0126/0437,39370-023,,,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,,,30.0,,30.0,,,,,,,,,,,3000.0,"Agriculture, Natural Resources and Rural Development",3006,Livestock,,,,,,,,,,,,,,,GR0126 approved on 21 Nov 2008,
0127,Asian Development Bank,"Australia,New Zealand",2012,2012.0,,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0.0,,,,,,,,,,,3700.0,Transport,3702,Water Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,Asian Development Bank,EC,2008,2008.0,127,0127/0292/0293,40263,,,SOL,Domestic Maritime Support (Sector),PARD,PAHQ,11/25/2008,0.0,0.0,14.0,,14.0,,,,,,,,,,ADF Grant,3700.0,Transport,,,,,,,,,,,,,,,,," $600,000 PIGGYBACKED TA (7178) AMT WAS DEDUCTED FROM EC AMOUNT OF $5.25 MILLION (MINOR CHANGE IN SCOPE AND IMPLEMENTATION ARRANGEMENTS APPROVED 10MAY2010). ",
0127,Asian Development Bank,New Zealand,2015,2015.0,293,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing,PARD,PLCO,04/28/2015,,,,,0.0,,,,,,,,,,,3700.0,Transport,,,,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,Asian Development Bank,"Australia,New Zealand",2012,2012.0,,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0.0,,,,,,,,,,,3700.0,Transport,3702,Water Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,Asian Development Bank,New Zealand,2014,2014.0,,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,06/17/2014,,,,,0.0,,,,,,,,,,,3700.0,Transport,3702,Water Transport (Non-Urban),,,Sustainable Economic Growth,,,,,,,,,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,Australia,Australia,2012,2012.0,292,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0.0,4.3,,,4.3,DVA,PS,Full Administration,Bilateral,Grant,,3700.0,Transport,,,,,,Yes,,05/23/2012,,,,,Sovereign,,,,A$4 million,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,EC,EC,2008,2008.0,127,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector),PARD,PAHQ,11/25/2008,,,,,0.0,4.65,,,4.65,DVA,PS,Full Administration,Multilateral,Grant,ADF Grant,3700.0,Transport,,,,,,,,11/25/2008,02/10/2009,,,,Sovereign,,,,"EC ADB admin grant $5.25 (RRP)- joint cofinancing.  Adj Jan2011 from $5.25 to $4.65 (ref COPP, GFIS - Ruth)","DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,New Zealand,New Zealand,2015,2015.0,293,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing,PARD,PLCO,04/28/2015,,,,,0.0,0.29,,,0.29,DVA,PS,Full Administration,Bilateral,Grant,,3700.0,Transport,,,,,,Yes,,04/28/2015,,,,,Sovereign,,,,"$301,760 actual amount, changed to $285,196 based on re-issued coding form (7 July 2015)","DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,New Zealand,New Zealand,2012,2012.0,293,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0.0,2.5,,,2.5,DVA,,Full Administration,Bilateral,Grant,,3700.0,Transport,,,,,,Yes,,05/23/2012,,,,,Sovereign,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0127,New Zealand,New Zealand,2014,2014.0,293,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,06/17/2014,,,,,0.0,2.5,,,2.5,DVA,PS,Full Administration,Bilateral,Grant,,3700.0,Transport,,,03/11/2014,,,Yes,,06/17/2014,,,,,Sovereign,,,,,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
0144-0145,Asian Development Bank,IFAD,2009,2009.0,,0144-0145,,,,LAO,Sustainable Natural Resource Management and Productivity Enhancement,SERD,,02/23/2009,0.0,0.0,20.0,,20.0,,,,,,,,,,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,ADF is 0144; IFAD is 0145; no project number,
0144-0145,IFAD,IFAD,2009,2009.0,145,0144-0145,,,,LAO,Sustainable Natural Resource Management and Productivity Enhancement,SERD,,02/23/2009,,,,,0.0,15.0,,,15.0,DVA,,Partial Administration,Multilateral,Grant,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,,,,02/23/2009,01/31/1974,,01/13/1982,,Sovereign,,,,,
0162,Asian Development Bank,OFID,1973,1973.0,,0162/8001,,,,MYA,Rangoon Water Supply,SERD,SEEN,12/11/1973,0.0,13.0,0.0,,13.0,,,,,,,,,,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,Sustainable Economic Growth,,,,,,,,,,,, LISTED IN LOANS FROM ORDINARY CAPITAL RESOURCES AS WELL AS FROM THE ASIAN DEVELOPMENT FUND.  OCR = 4.50 ADF = 8.50; no project number,
0162,OFID,OFID,1973,1973.0,8001,0162/8001,,,,MYA,Rangoon Water Supply,SERD,SESS,12/11/1973,,,,,0.0,,1.28,,1.28,DVA,,Partial Administration,Multilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/11/1973,02/26/1974,,09/08/1989,,Sovereign,,,,,
