,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
713,1621,2012,8225,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management Phase V,CDTA,,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,,19-Nov-2012,True
715,1623,2012,8229,BHU,Enhancing Development Management for Sustainable and Inclusive Growth,CDTA,,C,Public Sector Management,Bilateral,Single Donor,250.00,2nd Danish Cooperation Fund for Technical Assistance,,28-Nov-2012,True
718,1626,2012,8250,REG,Improving Financial Inclusion in Asia and the Pacific,R-RDTA,,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,24-Sep-2012,06-Dec-2012,True
719,1627,2012,8255,MON,Strengthening the Anti-Money Laundering Regime,CDTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,360.00,RTFSI,,11-Dec-2012,True
721,1629,2012,8258,PHI,Capacity Building for Microinsurance,CDTA,E,C,Finance,Bilateral,Single Donor,"1,000.00",JFPR,,11-Dec-2012,True
722,1630,2012,8267,THA,Strengthening Integrated Water and Flood Management Implementation,PATA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,500.00",JFPR,,11-Dec-2012,True
723,1631,2012,8268,MLD,Outer Islands for Sustainable Energy Development,PPTA,,PS,Energy,Global Fund,Multidonor,700.00,SCF-SREP,,10-Dec-2012,True
724,1632,2012,8269,PRC,Biodiversity Strategy and Action Plan for Yunnan Province,PATA,,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,200.00,MDTF-WFPF,,10-Dec-2012,True
725,1633,2012,8279,IND,Preparing the Bond Guarantee Fund for India,CDTA,E,C,Finance,Bilateral,Single Donor,800.00,JFPR,,17-Dec-2012,True
726,1634,2012,8283,BAN,Improving Public Administration and Services Delivery through E-Solutions,PATA,,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,,14-Dec-2012,True
727,1635,2012,8284,REG,Supporting Financial Stability in Bhutan and the Maldives,R-CDTA,E,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,,10-Dec-2012,True
730,1638,2012,8295,IND,Advanced Project Preparedness for Poverty Reduction—Institutional Strengthening of the Chhattisgarh Public Works Department (Subproject 27),CDTA,,PS,Transport and ICT,Bilateral,Single Donor,500.00,UKG,,11-Dec-2012,True
731,1639,2012,8296,TON,Outer Island Energy Efficiency,PPTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,400.00,CEF-CEFPF,,17-Dec-2012,True
733,1641,2012,8301,REG,Central Asia Regional Economic Cooperation: Supporting Capacity Development Needs of CAREC 2020,R-CDTA,,C,Multisector,Bilateral,Single Donor,400.00,PRC-PR Fund,,17-Dec-2012,True
735,1643,2012,8306,RMI,Ebeye Water Supply and Sanitation,PPTA,,PS,Multisector,Bilateral,Single Donor,500.00,AUS,23-Oct-2012,20-Dec-2012,True
736,1644,2012,8307,TON,Project to Implement the Strategic Program for Climate Resilience,PPTA,E,PS,Multisector,Global Fund,Multidonor,750.00,SCF-PPCR,,19-Dec-2012,True
737,1645,2012,8310,VIE,Capacity Building and Coordination improvement for Effective Regional Cooperation Investment Planning,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,800.00,JFPR,,21-Dec-2012,True
740,1648,2013,6422,REG,Mainstreaming Environment for Poverty Reduction (2nd Supplementary),R-CDTA,,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,74.00,PEF,09-Jul-2013,16-Jul-2013,True
741,1649,2013,6470,REG,Managing Water in Asia's River Basins: Charting Progress and Facilitating Investment (Supplementary),R-CDTA,,C,Agriculture and Natural Resources,Bilateral,Single Donor,70.00,SPA,25-Jan-2013,28-Jan-2013,True
742,1650,2013,6498,REG,Knowledge and Innovation Support for ADB's Water Financing Program (5th Supplementary),R-CDTA,,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,"1,000.00",MDTF-WFPF,26-Apr-2013,07-Jun-2013,True
743,1651,2013,6501,REG,Expanding the Implementation of the Energy Efficiency Initiative in Developing Member Countries (2nd Supplementary),R-PPTA,,PS,Energy,Bilateral,Single Donor,200.00,USA,,25-Feb-2013,True
744,1652,2013,6502,REG,Regional Knowledge and Partnership Networks for Poverty Reduction and Inclusive Growth,R-CDTA,,C,Public Sector Management,Bilateral,Single Donor,400.00,PRC-PR Fund,20-Nov-2012,29-Apr-2013,True
745,1653,2013,7329,REG,Promoting Access to Renewable Energy in the Pacific (Supplementary),R-CDTA,,PS,Energy,Global Fund,Multidonor,100.00,SCF-SREP,,15-May-2013,True
747,1655,2013,7459,REG,Greater Mekong Subregion Biodiversity Conservation Corridors (2nd Supplementary),R-PPTA,,PS,Agriculture and Natural Resources,Global Fund,Multidonor,150.00,GEF,07-Mar-2013,24-May-2013,True
749,1657,2013,7512,REG,Empowering the Poor through Increasing Access to Energy (5th Supplementary),R-PPTA,,PS,Energy,Bilateral,Single Donor,"3,980.00",NOR,12-Dec-2012,27-Mar-2013,True
750,1658,2013,7629,VIE,Capacity Building for River Basin Water Resources Planning (Supplementary),CDTA,,C,Agriculture and Natural Resources,Bilateral,Single Donor,200.00,NET-WFPF,29-Oct-2012,17-Jan-2013,True
751,1659,2013,7796,PHI,Strengthening Public-Private Partnerships in the Philippines (2nd Supplementary),CDTA,,PS,Public Sector Management,Bilateral,Single Donor,"3,000.00",CAN,05-Nov-2012,10-Jan-2013,True
753,1661,2013,7813,REG,Coastal and Marine Resources Management in the Coral Triangle - Southeast Asia (Supplementary),R-PATA,,PS,Agriculture and Natural Resources,Global Fund,Multidonor,200.00,GEF,,19-Apr-2013,True
756,1664,2013,7926,VIE,Water Resources Development in the Mid- and Northeast Red River Delta (Supplementary),PPTA,,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,450.00,MDTF-WFPF,27-Feb-2013,22-May-2013,True
757,1665,2013,7959,TON,Implementing Strategic Economic Management (Supplementary),CDTA,,PS,Public Sector Management,Bilateral,Single Donor,"1,325.00",AUS,06-Jun-2013,20-Jun-2013,True
759,1667,2013,7984,NEP,Mainstreaming Climate Change Risk Management in Development (Supplementary),CDTA,,PS,Multisector,Multilateral,Multidonor,600.00,NDF,18-Jan-2013,06-Sep-2013,True
760,1668,2013,7987,REG,"Core Environment Program and Biodiversity Conservation Corridors Initiative in the Greater Mekong Subregion, Phase 2 (2nd Supplementary)",R-CDTA,,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"5,300.00",NDF,06-Mar-2013,25-Apr-2013,True
761,1669,2013,8003,REG,Strengthening Evaluation of Poverty Reduction Innovations,R-CDTA,,C,Multisector,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,30-Oct-2012,04-Feb-2013,True
762,1670,2013,8053,BAN,Preparing the Khilket Water Treatment Plant (Supplementary),PPTA,,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,500.00,MDTF-WFPF,01-Jul-2013,12-Aug-2013,True
763,1671,2013,8064,TIM,Second District Capitals Water Supply (Supplementary),PPTA,,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,200.00,MDTF-WFPF,29-Nov-2012,19-Jun-2013,True
764,1672,2013,8065,REG,Enhancing ADB's Engagement in Fragile and Conflict-Affected Situations (Supplementary),R-CDTA,,PS,Public Sector Management,Bilateral,Single Donor,121.32,AUS,16-May-2013,30-May-2013,True
765,1673,2013,8085,BAN,Support for the Third Primary Education Development Project (2nd Supplementary),CDTA,J,PS,Education,Bilateral,Single Donor,"1,150.00",CAN,,13-Dec-2013,True
766,1674,2013,8100,TUV,Institutional Strengthening of the Ministry of Finance and Economic Development (2nd Supplementary),CDTA,,PS,Public Sector Management,Multilateral,Multidonor,54.28,Commonwealth Secretariat,15-Jul-2013,20-May-2013,True
767,1675,2013,8100,TUV,Institutional Strengthening of the Ministry of Finance and Economic Development (Supplementary),CDTA,,PS,Public Sector Management,Bilateral,Single Donor,76.42,AUS,28-Jun-2012,12-Feb-2013,True
769,1677,2013,8116,IND,Advanced Project Preparedness for Poverty Reduction - Detailed Design for the SASEC Subregional Road Connectivity (Subproject 25) (2nd Supplementary),PPTA,,PS,Transport and ICT,Bilateral,Single Donor,430.00,UKG,,25-Oct-2013,True
772,1680,2013,8135,PHI,Design of a Pilot Project to Improve Environmental Conditions of Estero de Paco (Supplementary),S-CDTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,220.00,MDTF-WFPF,,10-Oct-2013,True
773,1681,2013,8154,BAN,Irrigation Management Improvement Investment Program,PPTA,,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,275.00,MDTF-WFPF,29-Nov-2012,10-Apr-2013,True
776,1684,2013,8173,NEP,Supporting the Strengthening Public Management Program (Supplementary),CDTA,,PS,Public Sector Management,Multilateral,Multidonor,"2,950.00",EC,,05-Nov-2013,True
778,1686,2013,8225,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management Phase V (Supplementary),CDTA,,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,20-Nov-2012,22-Jan-2013,True
779,1687,2013,8240,REG,Supporting Regional Project Development for Association of Southeast Asian Nations Connectivity (2nd Supplementary),CDTA,J,PS,Multisector,Bilateral,Single Donor,"4,300.00",CAN,,04-Dec-2013,True
780,1688,2013,8240,REG,Supporting Regional Project Development for Association of Southeast Asian Nations Connectivity (2nd Supplementary),CDTA,J,PS,Multisector,Bilateral,Single Donor,"4,500.00",International Enterprise Singapore,,04-Dec-2013,True
781,1689,2013,8240,REG,Supporting Regional Project Development for Association of Southeast Asian Nations Connectivity (Supplementary),CDTA,,C,Multisector,Special Fund,ADB,300.00,RCIF,,27-Feb-2013,True
782,1690,2013,8244,MYA,Capacity Development and Institutional Support (Supplementary),CDTA,J,PS,Multisector,Bilateral,Single Donor,300.00,NOR,,09-Dec-2013,True
785,1693,2013,8314,REG,Green Cities: A Sustainable Urban Future in Southeast Asia (Supplementary),R-CDTA,J,C,Multisector,Multi-Donor Trust Fund,Multidonor,150.00,MDTF-WFPF,,30-Oct-2013,True
786,1694,2013,8320,BAN,Establishing a Regulatory Framework for Urban Water Supply and Sanitation,PATA,,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,250.00,NET-WFPF,29-Nov-2012,28-Jan-2013,True
789,1697,2013,8328,AFG,Supporting the Inter-Ministerial Commission for Energy,PATA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,"1,500.00",AITF,,22-Feb-2013,True
792,1700,2013,8331,INO,Sustainable Forest and Biodiversity Management in Borneo,CDTA,,C,Agriculture and Natural Resources,Special Fund,ADB,700.00,RCIF,,26-Feb-2013,True
793,1701,2013,8331,INO,Sustainable Forest and Biodiversity Management in Borneo,CDTA,,C,Agriculture and Natural Resources,Special Fund,ADB,"1,250.00",CCF,,26-Feb-2013,True
794,1702,2013,8331,INO,Sustainable Forest and Biodiversity Management in Borneo,CDTA,,PS,Agriculture and Natural Resources,Global Fund,Multidonor,"2,527.27",GEF,,26-Feb-2013,True
795,1703,2013,8334,PHI,Improving Competitiveness in Tourism,CDTA,E,PS,Industry and Trade,Bilateral,Single Donor,"7,116.90",CAN,,05-Mar-2013,True
796,1704,2013,8335,PHI,Employment Facilitation for Inclusive Growth,CDTA,E,PS,Industry and Trade,Bilateral,Single Donor,"5,591.90",Canada,,05-Mar-2013,True
797,1705,2013,8339,BAN,Third Urban Governance and Infrastructure Improvement (Sector),PPTA,,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,450.00,MDTF-WFPF,27-Feb-2013,15-Mar-2013,True
800,1708,2013,8345,REG,Establishment of the Pacific Region Infrastructure Facility Coordination Office,PATA,J,PS,Multisector,Bilateral,Single Donor,"2,400.00",NZL,,27-Mar-2013,True
803,1711,2013,8351,IND,Advanced Project Preparedness for Poverty Reduction—Preparing the Second Power Sector Investment for Assam (Subproject 28),PPTA,E,PS,Energy,Bilateral,Single Donor,750.00,United Kingdom,,11-Apr-2013,True
807,1715,2013,8358,INO,Minimum Service Standards Capacity Development Program,CDTA,E,PS,Education,Multilateral,Multidonor,"47,030.00",EC,,24-Apr-2013,True
809,1717,2013,8360,REG,Implementation of the Strategic Program for Climate Resilience: Pacific Region,R-CDTA,E,PS,Multisector,Global Fund,Multidonor,"3,691.00",SCF-PPCR,,25-Apr-2013,True
810,1718,2013,8361,ARM,Urban Development in Secondary Cities,PATA,,C,Transport and ICT,Multi-Donor Trust Fund,Multidonor,660.00,UFPF-UEIF,,29-Apr-2013,True
814,1722,2013,8367,REG,Prevention and Control of HIV/AIDS and Other Communicable Diseases in Central Asia Regional Economic Cooperation Countries,R-CDTA,,C,Health and Social Protection,Bilateral,Single Donor,300.00,PRC-PR Fund,01-Mar-2013,09-May-2013,True
815,1723,2013,8367,REG,Prevention and Control of HIV/AIDS and Other Communicable Diseases in Central Asia Regional Economic Cooperation Countries,R-CDTA,,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,"1,500.00",HIV/AIDS Fund,18-Feb-2013,09-May-2013,True
821,1729,2013,8378,REG,"Pacific Private Sector Development Initiative, Phase III",R-PATA,J,PS,Public Sector Management,Bilateral,Single Donor,"4,500.00",NZL,,06-Jun-2013,True
823,1731,2013,8382,REG,Sustainable Hydropower in Asia Publication,S-CDTA,,C,Energy,Multi-Donor Trust Fund,Multidonor,112.50,MDTF-WFPF,26-Apr-2013,28-May-2013,True
824,1732,2013,8384,REG,Evolving Linkages of the Pacific Economies,R-RDTA,,C,Multisector,Special Fund,ADB,500.00,RCIF,,17-Jun-2013,True
825,1733,2013,8385,MYA,Support for Post-Primary Education Development,PATA,,PS,Education,Bilateral,Single Donor,500.00,AUS,03-Oct-2013,19-Jun-2013,True
832,1740,2013,8398,MYA,Design of e-Governance Master Plan and Review of Information and Communication Technology Capacity in Academic Institutions,PATA,J,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,,04-Jul-2013,True
835,1743,2013,8401,AFG,Gas Development Master Plan,PATA,J,C,Energy,Multi-Donor Trust Fund,Multidonor,800.00,AITF,,11-Jul-2013,True
836,1744,2013,8407,INO,Planning a Pilot Carbon Capture and Storage Activity,S-CDTA,,C,Energy,Multi-Donor Trust Fund,Multidonor,225.00,CCSF,14-May-2013,18-Jul-2013,True
837,1745,2013,8408,REG,Communications Campaign for Prevention of HIV/AIDS,S-CDTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,225.00,HIV/AIDS Fund,,29-Jul-2013,True
838,1746,2013,8412,NEP,South Asia Subregional Economic Cooperation (SASEC) Power System Expansion,PPTA,E,C,Energy,Bilateral,Single Donor,500.00,PRC-PR Fund,,30-Jul-2013,True
839,1747,2013,8412,NEP,South Asia Subregional Economic Cooperation (SASEC) Power System Expansion,PPTA,E,C,Energy,Bilateral,Single Donor,"1,000.00",JFPR,,30-Jul-2013,True
842,1750,2013,8420,IND,Advanced Project Preparedness for Poverty Reduction—Enhancing Capacities of Executing and Implementing Agencies to Achieve Gender Equality Results (Subproject 29),CDTA,E,PS,Multisector,Bilateral,Single Donor,500.00,UKG,,06-Aug-2013,True
845,1753,2013,8424,PRC,Hubei Enshi Qing River Upstream Environment Rehabilitation,PPTA,,C,Multisector,Multi-Donor Trust Fund,Multidonor,200.00,MDTF-WFPF,01-Jul-2013,09-Aug-2013,True
846,1754,2013,8425,REG,Second Greater Mekong Subregion Corridor Towns Development,R-PPTA,,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,500.00,PRC-PR Fund,,13-Aug-2013,True
847,1755,2013,8430,REG,Promoting Regional Knowledge Sharing Partnerships,R-CDTA,E,C,Public Sector Management,Bilateral,Single Donor,600.00,PRC-PR Fund,,16-Aug-2013,True
849,1757,2013,8432,INO,"Improving Water Planning, Management and Development",PATA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,500.00",NET-WFPF,,09-Aug-2013,True
850,1758,2013,8433,REG,Technical Training and Capacity Building for Selected Asian Countries on Regional Economic and Financial Monitoring (Phase 2),R-CDTA,,C,Public Sector Management,Bilateral,Single Donor,400.00,PRC-PR Fund,,16-Aug-2013,True
851,1759,2013,8433,REG,Technical Training and Capacity Building for Selected Asian Countries on Regional Economic and Financial Monitoring (Phase 2),R-CDTA,,C,Public Sector Management,Special Fund,ADB,500.00,RCIF,,16-Aug-2013,True
857,1765,2013,8441,REG,Development and Dissemination of Climate-Resilient Rice Varieties for Water-Short Areas of South Asia and Southeast Asia,R-RDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,620.00,Second Finnish Technical Assistance Grant Fund,,05-Sep-2013,True
858,1766,2013,8441,REG,Development and Dissemination of Climate-Resilient Rice Varieties for Water-Short Areas of South Asia and Southeast Asia,R-RDTA,,C,Agriculture and Natural Resources,Special Fund,ADB,750.00,CCF,,05-Sep-2013,True
861,1769,2013,8446,REG,Sustainable Energy Training Program,R-CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,225.00,CEF-CEFPF,,12-Sep-2013,True
863,1771,2013,8453,SRI,Trincomalee Integrated Urban Development,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,500.00,MDTF-WFPF,,20-Sep-2013,True
866,1774,2013,8457,PRC,Wastewater Treatment and Reuse,CDTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,250.00,MDTF-WFPF,,20-Sep-2013,True
867,1775,2013,8457,PRC,Wastewater Treatment and Reuse,CDTA,J,C,Water and Other Municipal Infrastructure and Services,Special Fund,ADB,250.00,CCF,,20-Sep-2013,True
874,1782,2013,8472,MYA,Mandalay City Urban Services Improvement,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,500.00,FRA-AFD GMS Fund,,03-Oct-2013,True
875,1783,2013,8472,MYA,Mandalay City Urban Services Improvement,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,500.00,MDTF-WFPF,,03-Oct-2013,True
882,1790,2013,8486,IND,Rajasthan Renewable Energy Capacity Development and Implementation Support,CDTA,E,PS,Energy,Global Fund,Multidonor,"2,000.00",CTF,,22-Oct-2013,True
883,1791,2013,8487,SOL,Information and Communication Technology for Better Education Services,CDTA,E,C,Education,Bilateral,Single Donor,500.00,EAKPF,,21-Oct-2013,True
884,1792,2013,8491,PRC,Strengthening Urban Flood Management in Huainan Municipality,PATA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,500.00,MDTF-WFPF,,25-Oct-2013,True
888,1796,2013,8501,REG,Capacity Development for the Supply Chain Finance Program,R-CDTA,J,C,Industry and Trade,Multi-Donor Trust Fund,Multidonor,300.00,FSDPF,,11-Nov-2013,True
889,1797,2013,8501,REG,Capacity Development for the Supply Chain Finance Program,R-CDTA,J,C,Industry and Trade,Special Fund,ADB,500.00,RCIF,,11-Nov-2013,True
890,1798,2013,8503,REG,Partnership for Innovation in Education in Asia and the Pacific,R-PATA,J,PS,Education,Bilateral,Single Donor,"1,300.00",FIN,,11-Nov-2013,True
895,1803,2013,8518,INO,Sustainable Infrastructure Assistance Program — Green Cities - A Sustainable Urban Future in Indonesia (Subproject 4),CDTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,000.00",AUS,,26-Nov-2013,True
896,1804,2013,8520,REG,Asia Pacific Public Electronic Procurement Network,R-CDTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,,02-Dec-2013,True
897,1805,2013,8525,MLD,Enhancing Tax Administration Capacity,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,850.00,JFPR,,04-Dec-2013,True
899,1807,2013,8530,INO,"Sustainable Infrastructure Assistance Program — Strengthening Community Participation in Project Design, Implementation, and Monitoring in Regional Roads Development Projects (Subproject 5)",CDTA,E,PS,Transport and ICT,Bilateral,Single Donor,"1,000.00",AUS,,06-Dec-2013,True
902,1810,2013,8543,IND,Advanced Project Preparedness for Poverty Reduction—Project Preparation and Implementation Support for Uttarakhand Emergency Assistance (Subproject 30),PPTA,E,PS,Transport and ICT,Bilateral,Single Donor,"2,000.00",UKG,,09-Dec-2013,True
903,1811,2013,8546,TAJ,Strengthening Private Sector Participation in Technical and Vocational Education and Training,PPTA,E,C,Education,Bilateral,Single Donor,700.00,JFPR,,10-Dec-2013,True
904,1812,2013,8549,REG,Implementing the Greater Mekong Subregion Human Resource Development Strategic Framework and Action Plan (Phase 2),R-PATA,J,C,Multisector,Bilateral,Single Donor,500.00,PRC-PR Fund,,09-Dec-2013,True
905,1813,2013,8549,REG,Implementing the Greater Mekong Subregion Human Resource Development Strategic Framework and Action Plan (Phase 2),R-PATA,J,C,Multisector,Special Fund,ADB,500.00,RCIF,,09-Dec-2013,True
906,1814,2013,8550,REG,Inclusive Business Support,R-CDTA,J,PS,Multisector,Bilateral,Single Donor,"3,100.00",SWE,,10-Dec-2013,True
907,1815,2013,8550,REG,Inclusive Business Support,R-CDTA,J,PS,Multisector,Private Sector,Multidonor,100.00,Credit Suisse AG,,10-Dec-2013,True
908,1816,2013,8554,PRC,Establishing a Regional Knowledge Hub on Green Growth and Eco-Compensation,CDTA,E,C,Multisector,Multi-Donor Trust Fund,Multidonor,300.00,MDTF-WFPF,,12-Dec-2013,True
909,1817,2013,8556,REG,Supporting the Cities Development Initiative for Asia,CDTA,J,C,Multisector,Multi-Donor Trust Fund,Multidonor,"5,000.00",UFPF-UCCRTF,,06-Dec-2013,True
910,1818,2013,8556,REG,Supporting the Cities Development Initiative for Asia,CDTA,J,PS,Multisector,Bilateral,Single Donor,"2,000.00",AUT,,06-Dec-2013,True
911,1819,2013,8556,REG,Supporting the Cities Development Initiative for Asia,CDTA,J,PS,Multisector,Bilateral,Single Donor,"7,084.00",SWE,,06-Dec-2013,True
912,1820,2013,8557,TAJ,Investment Climate Reforms,PATA,E,C,Multisector,Bilateral,Single Donor,"1,000.00",JFPR,,13-Dec-2013,True
913,1821,2013,8560,MON,Tuul River Improvement,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,000.00",JFPR,,13-Dec-2013,True
914,1822,2013,8566,REG,Mainstreaming Integrated Solid Waste Management in Asia,R-CDTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,600.00,UFPF-UEIF,,09-Dec-2013,True
916,1824,2013,8570,REG,Support to Community-Based Disaster Risk Management in Southeast Asia,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,"1,000.00",IDRMF,,09-Dec-2013,True
917,1825,2013,8584,REG,Coordinated Border Management for Results in Central Asia Regional Economic Cooperation,R-CDTA,E,C,Industry and Trade,Bilateral,Single Donor,"1,250.00",JFPR,,16-Dec-2013,True
918,1826,2013,8585,REG,Aligning Customs Trade Facilitation Measures with Best Practices in Central Asia Regional Economic Cooperation,R-CDTA,E,C,Industry and Trade,Bilateral,Single Donor,"1,250.00",JFPR,,16-Dec-2013,True
919,1827,2013,8586,REG,Facilitation of Regional Transit Trade in Central Asia Regional Economic Cooperation,R-PATA,E,C,Industry and Trade,Bilateral,Single Donor,"1,500.00",JFPR,,16-Dec-2013,True
920,1828,2013,8589,REG,Supporting the Operationalization of Community-Driven Development in Developing Member Countries,R-CDTA,J,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,,16-Dec-2013,True
921,1829,2013,8590,PHI,Enhancing Capacities for the KALAHI–CIDSS National Community-Driven Development,CDTA,E,C,Multisector,Bilateral,Single Donor,"1,500.00",JFPR,,18-Dec-2013,True
922,1830,2013,8592,VIE,Improving Payment for Forest Ecosystem Service Implementation,CDTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,500.00",JFPR,,16-Dec-2013,True
923,1831,2013,8601,REG,Women-Led Sanitation: Driving Change through ADB–CSO Partnerships,R-RDTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,225.00,MDTF-WFPF,,20-Dec-2013,True
924,1832,2013,8605,TAJ,Capacity Building for Rural Financial Inclusion,CDTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,200.00,FSDPF,,24-Dec-2013,True
925,1833,2013,8612,REG,The Asia Leadership Program: Building Communities of Leaders through Regional Knowledge Sharing,R-CDTA,J,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,,13-Dec-2013,True
926,1834,2014,6321,REG,Fighting HIV/AIDS in Asia and the Pacific (5th Supplementary),R-CDTA,J,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,180.00,HIV/AIDS Fund,,16-May-2014,True
927,1835,2014,6321,REG,Fighting HIV/AIDS in Asia and the Pacific (5th Supplementary),R-CDTA,J,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,670.00,HIV/AIDS Fund,,02-Apr-2014,True
942,1850,2014,8043,IND,Advanced Project Preparedness for Poverty Reduction - Rajasthan Urban Development Program (Subproject 22) (Supplementary),PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,50.00,United Kingdom,,16-Apr-2014,True
948,1856,2014,8223,REG,Supporting the Use of Carbon Financing to Promote Green Growth in Asia and the Pacific (Supplementary),R-CDTA,J,C,Multisector,Bilateral,Single Donor,26.00,Swiss Cooperation Fund for Consulting Services,,04-Dec-2014,True
949,1857,2014,8223,REG,Supporting the Use of Carbon Financing to Promote Green Growth in Asia and the Pacific (Supplementary),R-CDTA,J,C,Multisector,Bilateral,Single Donor,115.00,Spain,,04-Dec-2014,True
950,1858,2014,8223,REG,Supporting the Use of Carbon Financing to Promote Green Growth in Asia and the Pacific (Supplementary),R-CDTA,J,C,Multisector,Bilateral,Single Donor,443.00,EAKPF,,04-Dec-2014,True
956,1864,2014,8408,REG,Communications Campaign for Prevention of HIV/AIDS (Supplementary),S-CDTA,,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,25.00,HIV/AIDS Fund,20-Dec-2013,24-Jan-2014,True
957,1865,2014,8420,IND,Advanced Project Preparedness for Poverty Reduction—Enhancing Capacities of Executing and Implementing Agencies to Achieve Gender Equality Results (Subproject 29) (Supplementary),CDTA,E,PS,Multisector,Bilateral,Single Donor,100.00,United Kingdom,,07-Nov-2014,True
958,1866,2014,8425,REG,Second Greater Mekong Subregion Corridor Towns Development (Supplementary),R-PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,385.00,IDRMF,,15-May-2014,True
961,1869,2014,8485,REG,Strengthening Regional Response to Malaria and Other Communicable Diseases in Asia and the Pacific (2nd Supplementary),CDTA,J,PS,Health and Social Protection,Bilateral,Single Donor,635.54,Australia,,17-Dec-2014,True
962,1870,2014,8485,REG,Strengthening Regional Response to Malaria and Other Communicable Diseases in Asia and the Pacific (2nd Supplementary),CDTA,J,PS,Health and Social Protection,Private Sector,Single Donor,"1,077.83",Bill and Melinda Gates Foundation,,17-Dec-2014,True
963,1871,2014,8485,REG,Strengthening Regional Response to Malaria and Other Communicable Diseases in Asia and the Pacific (Supplementary),CDTA,J,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,750.00,HFPF-RMTF,,09-May-2014,True
972,1880,2014,8629,REG,"Strengthening the Capacity of Public Financial Institutions for Low Carbon, Climate Resilient Infrastructure and Technology Investment",S-CDTA,E,C,Finance,Multi-Donor Trust Fund,Multidonor,200.00,FSDPF,,31-Mar-2014,True
982,1890,2014,8644,REG,Sustainable Energy Training Program 2014,S-CDTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,225.00,CEF-CEFPF,,08-May-2014,True
