,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
274,1182,2009,7407,REG,Small Scale TA on Managing Climate Impacts on Health in Water and Agriculture Sectors and Disaster Risk Reduction,R-PATA,E,PS,Health and Social Protection,Bilateral,Single Donor,140.00,SWE,,09-Dec-2009,True
275,1183,2009,7408,REG,Policy Options to Support Climate-Induced Migration,R-RDTA,E,C,Public Sector Management,Special Fund,ADB,700.00,CCF,,08-Dec-2009,True
278,1186,2009,7417,IND,Support for the National Action Plan on Climate Change,PATA,E,C,Multisector,Special Fund,ADB,750.00,CCF,,07-Dec-2009,True
285,1193,2009,7443,PRC,Energy Efficiency Improvements in Inner Mongolia Autonomous Region,CDTA,E,C,Energy,Special Fund,ADB,500.00,CCF,,14-Dec-2009,True
289,1197,2009,7460,CAM,Outcome Monitoring and Procurement Review,R-CDTA,E,PS,Transport and ICT,Bilateral,Single Donor,400.00,AUS,,15-Dec-2009,True
304,1212,2010,6409,REG,"Strengthening Central Asia Reg Economic Coop, 2007-2009",R-PATA,J,C,Public Sector Management,Special Fund,ADB,"1,000.00",RCIF,,22-Feb-2010,True
437,1345,2011,6289,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS (Supplementary) 2,R-RDTA,J,C,Agriculture and Natural Resources,Special Fund,ADB,"1,000.00",CCF,,12-Apr-2011,True
441,1349,2011,6437,REG,Integrated Trade Facilitation Support for Central Asia Regional Economic Cooperation (Supplementary),R-CDTA,J,C,Industry and Trade,Special Fund,ADB,500.00,RCIF,,19-Dec-2011,True
443,1351,2011,6445,REG,Support for Implementation of the Second Governance and Anticorruption Action Plan (Supplementary),RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,391.00,GCF,,25-Oct-2011,True
453,1361,2011,7494,REG,Fourth High-Level Forum on Aid Effectiveness (4th Supplementary),R-PATA,J,PS,Public Sector Management,Bilateral,Single Donor,98.00,CAN,,02-Dec-2011,True
459,1367,2011,7551,GEO,Developing a Geospatial Urban Water Supply and Sanitation Utility Management System (Supplementary),CDTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,600.00,SPA,,13-Dec-2011,True
465,1373,2011,7644,REG,Greater Mekong Subregion: Corridor Towns Development (2nd Supplementary),R-PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,300.00,UFPF-UEIF,,13-Dec-2011,True
522,1430,2011,7860,PRC,Managing the Water Resources of Boyang Lake,PATA,J,C,Agriculture and Natural Resources,Special Fund,ADB,800.00,CCF,,02-Sep-2011,True
549,1457,2011,7918,REG,Support to Urban Infrastructure Development and Financing,R-CDTA,E,C,Multisector,Multi-Donor Trust Fund,Multidonor,"1,700.00",UFPF-UEIF,,16-Nov-2011,True
558,1466,2011,7940,TON,Outer Island Renewable Energy,PPTA,E,C,Energy,Bilateral,Single Donor,500.00,JFPR,,02-Dec-2011,True
562,1470,2011,7954,IND,Karnataka Integrated and Sustainable Water Resources Management Investment Program,PPTA,J,C,Agriculture and Natural Resources,Special Fund,ADB,100.00,CCF,,09-Dec-2011,True
563,1471,2011,7956,PRC,Developing Tianjin Emision Trading System,CDTA,J,C,Energy,Special Fund,ADB,550.00,CCF,,09-Dec-2011,True
566,1474,2011,7970,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,500.00",JFPR,,13-Dec-2011,True
