,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
295,Australia,Australia,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,15.6,,,15.6,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,DR 2011. para on grant cof and new proj pp 15.,G0272
382,CIDA,Canada,2011,2011.0,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,65.0,,,65.0,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
437,China Construction Bank,"P.R.C.,China Construction Bank",2015,2015.0,,3308,47051-002,,,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,,,,,0.0,,81.73,,81.73,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,3214,Energy Efficiency and Conservation,04/17/2015,,,No,,10/30/2015,,,,Approved,Sovereign,,,,,,3308
544,Denmark,Denmark,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,17.9,,,17.9,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,Ministry of Foreign Affairs,DR 2011. para on grant cof and new proj pp 15.,G0272
558,DGT,"France,DGT",2015,2015.0,3363/3364,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.0,,93.5,,93.5,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
570,EBRD,EBRD,2012,2012.0,,2916,46145-001,,,KAZ,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement,CWRD,CWTC,10/05/2012,,,,,0.0,,196.5,,196.5,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Road Transport,04/27/2012,,,No,,10/05/2012,,,,Approved,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.",2916
573,EBRD,EBRD,2014,2014.0,3150 (CG),3150,46416-002,,,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,,,,,0.0,10.89,,,10.89,DVA,PS,Collaborative,Multilateral,Grant,,3200.0,Energy,,"Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,,,07/31/2014,,,,,Sovereign,,,,,,3150
574,EBRD,EBRD,2014,2014.0,3150 (CL),3150,46416-002,,,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,,,,,0.0,,19.11,,19.11,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,"Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/31/2014,,,,,Sovereign,,,,,,3150
705,EC,EC,2011,2011.0,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,70.0,,,70.0,DVA,,Collaborative,Multilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
711,EC,EC,2015,2015.0,,3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.0,55.48,,,55.48,DVA,PS,Collaborative,Multilateral,Grant,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,"From $46.5, change in amt per Rudi van Dael memo to OCO 2 Dec 2015",,3256
714,EC,EC,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,47.9,,,47.9,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,"Together with DFID, UK",DR 2011. para on grant cof and new proj pp 15.,G0272
718,EDB,EDB,2015,2015.0,,2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing,CWRD,CWTC,04/16/2015,,,,,0.0,,150.0,,150.0,DVA,FW,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,Yes,,04/16/2015,,,,,Sovereign,,,,,,2993
721,EDB,EDB,2013,2013.0,,3056/0366,45169-001,,,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",CWRD,CWTC,11/05/2013,,,,,0.0,,60.0,,60.0,DVA,FW,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,11/05/2013,,,,,Sovereign,,,,,,3056
731,EIB,EIB,2014,2014.0,,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0.0,,50.0,,50.0,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,"Conventional Energy Generation, Renewable Energy ﾖ Solar, Energy Efficiency and Conservation",,,,No,,09/29/2014,,,,,Sovereign,,,,,,0409
769,EIB,EIB,2011,2011.0,,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.0,,95.0,,95.0,DVA,,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,Euro 73 million,,2741
772,EIB,EIB,2015,2015.0,,2783/2784,43200-024,,,PNG,Bridge Replacement for Improved Rural Access Sector,PARD,PNRM,08/24/2015,,,,,0.0,,50.0,,50.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,,08/24/2015,,,No,,08/24/2015,,,,Approved,Sovereign,,,,,,2783
775,EIB,EIB,2012,2012.0,,2956,39500-033,52,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0.0,,195.0,,195.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Urban Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,,,Joint collaborative cofinancing,"DR 2012. para in SERD section on New Initiatives, pp 25.",2956
778,EIB,EIB,2012,2012.0,320,2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0.0,7.0,,,7.0,DVA,PS,Collaborative,Multilateral,Grant,,3200.0,Energy,,Energy Efficiency and Conservation,,,,,,11/28/2012,,,,,Sovereign,,,,from ADB-administered to collab following 3Feb2014 memo of SAEN,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
779,EIB,EIB,2012,2012.0,2966 (CL),2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0.0,,91.0,,91.0,DVA,,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Efficiency and Conservation,,,,No,,11/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
782,EIB,EIB,2014,2014.0,2966 (CL),2966/0320,42378-015,73,,BAN,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary),SARD,SAEN,02/19/2014,,,,,0.0,,21.0,,21.0,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Efficiency and Conservation,,,,Yes,,02/19/2014,,,,,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
786,EIB,EIB,2013,2013.0,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0.0,,70.0,,70.0,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,Joint collaborative cofinancing,,2990
787,EIB,EIB,2014,2014.0,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,07/18/2014,,,,,0.0,,15.0,,15.0,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Large Hydropower,07/18/2014,,,Yes,,07/18/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,,2990
