,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
608,"France,AFD",2014,3146/3147/0084/8290,3147,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
609,"France,AFD",2014,3146/3147/0084/8290,0084,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
610,"France,AFD",2014,3146/3147/0084/8290,8290,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
611,"France,AFD",2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
612,"France,AFD",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
613,"France,AFD",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
614,"France,AFD",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
615,"France,AFD",2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
616,"France,AFD",2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
617,"France,AFD",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3
618,"France,AFD",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3
619,"France,AFD",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3
620,"France,DGT",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3
621,"France,DGT",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3
622,"France,DGT",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3
623,FTI,2011,G0272/0289,G0272,35174-082,School Sector Program
624,FTI,2011,G0272/0289,0289,35174-082,School Sector Program
625,GAFSP,2012,2455/0116/0302,2455,42186-014,Emergency Food Assistance - Additional Financing
626,GAFSP,2012,2455/0116/0302,0116,42186-014,Emergency Food Assistance - Additional Financing
627,GAFSP,2012,2455/0116/0302,0302,42186-014,Emergency Food Assistance - Additional Financing
628,GAFSP,2013,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
629,GAFSP,2013,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
630,GAFSP,2013,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
631,GAFSP,2013,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
632,GAFSP,2013,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
639,GDCF,2014,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
640,GDCF,2014,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
641,GDCF,2014,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
642,GDCF,2014,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
652,GEF,2004,4357(L),4357(L),36445-022,Capacity Building to Combat Land Degradation
679,GEF,2012,2838/0311,2838,40685-023,Jiangsu Yancheng Wetlands Protection - Additional Financing
680,GEF,2012,2838/0311,0311,40685-023,Jiangsu Yancheng Wetlands Protection - Additional Financing
681,GEF,2012,2862-64/0287/8270,2862-64,42169-013,Greater Dhaka Sustainable Urban Transport
682,GEF,2012,2862-64/0287/8270,0287,42169-013,Greater Dhaka Sustainable Urban Transport
683,GEF,2012,2862-64/0287/8270,8270,42169-013,Greater Dhaka Sustainable Urban Transport
684,GEF,2012,2934/2935/0315,2934,39256-024,Urban Transport Development Investment Program - Tranche 1
685,GEF,2012,2934/2935/0315,2935,39256-024,Urban Transport Development Investment Program - Tranche 1
686,GEF,2012,2934/2935/0315,0315,39256-024,Urban Transport Development Investment Program - Tranche 1
687,GEF,2012,2957/0324-0325/8266,2957,41220-013,Integrated Natural Resources and Environmental Management
688,GEF,2012,2957/0324-0325/8266,0324-0325,41220-013,Integrated Natural Resources and Environmental Management
689,GEF,2012,2957/0324-0325/8266,8266,41220-013,Integrated Natural Resources and Environmental Management
690,GEF,2012,2980/0331,2980,44037-014,Shaanxi Weinan Luyang Integrated Saline Land Management
691,GEF,2012,2980/0331,0331,44037-014,Shaanxi Weinan Luyang Integrated Saline Land Management
692,GEF,2013,2835/0364,2835,44012-013,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing
693,GEF,2013,2835/0364,0364,44012-013,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing
694,GEF,2013,3094/0379,3094,46421-001,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative
695,GEF,2013,3094/0379,0379,46421-001,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative
696,GEF,2014,2915/0388,2915,44007-013,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing
697,GEF,2014,2915/0388,0388,44007-013,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing
698,GEF,2014,3216/0420,3216,45022-002,Jiangxi Ji'an Sustainable Urban Transport
699,GEF,2014,3216/0420,0420,45022-002,Jiangxi Ji'an Sustainable Urban Transport
700,GEF,2015,0433,0433,40253-035,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing
701,GEF,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
702,GEF,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
703,GEF,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
707,GEF-LDCF,2015,3331/3332/0459/0460/0461,3331,49319-001,Cyclone Pam Road Reconstruction Project
708,GEF-LDCF,2015,3331/3332/0459/0460/0461,3332,49319-001,Cyclone Pam Road Reconstruction Project
709,GEF-LDCF,2015,3331/3332/0459/0460/0461,0459,49319-001,Cyclone Pam Road Reconstruction Project
710,GEF-LDCF,2015,3331/3332/0459/0460/0461,0460,49319-001,Cyclone Pam Road Reconstruction Project
711,GEF-LDCF,2015,3331/3332/0459/0460/0461,0461,49319-001,Cyclone Pam Road Reconstruction Project
780,Germany,2011,2695/0323,2695,39298-013,City Region Development
781,Germany,2011,2695/0323,0323,39298-013,City Region Development
782,Germany,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
783,Germany,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
784,Germany,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
785,Germany,2012,2914,2914,41627-053,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4
786,Germany,2012,2956,2956,39500-033,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2
787,Germany,2014,3164,3164,48134-001,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1
788,Germany,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
789,Germany,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
790,"Germany,Germany",2014,3119/3120,3119,42251-018,Skills Sector Enhancement Program
791,"Germany,Germany",2014,3119/3120,3120,42251-018,Skills Sector Enhancement Program
792,"Germany,KfW",2015,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
793,"Germany,KfW",2015,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
794,"Germany,KfW",2015,3356,3356,49232-001,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program
795,"Germany,KfW",2015,3365,3365,44426-016,Green Energy Corridor and Grid Strengthening Project
796,"Germany,KfW",2015,3374,3374,42039-036,Power Transmission Investment Program-Tranche 3
797,GPE,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
798,HFPF-RMTF,2015,2699/0231/0448,2699,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
799,HFPF-RMTF,2015,2699/0231/0448,0231,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
800,HFPF-RMTF,2015,2699/0231/0448,0448,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
801,HFPF-RMTF,2015,2699/0232/0449,2699,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
802,HFPF-RMTF,2015,2699/0232/0449,0232,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
803,HFPF-RMTF,2015,2699/0232/0449,0449,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
804,HFPF-RMTF,2015,2699/0450,2699,41508-014,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
805,HFPF-RMTF,2015,2699/0450,0450,41508-014,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
855,IFAD,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
856,IFAD,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
857,IFAD,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
858,IFAD,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
859,IFAD,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
860,IFAD,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
861,IFAD,2012,2957/0324-0325/8266,2957,41220-013,Integrated Natural Resources and Environmental Management
862,IFAD,2012,2957/0324-0325/8266,0324-0325,41220-013,Integrated Natural Resources and Environmental Management
863,IFAD,2012,2957/0324-0325/8266,8266,41220-013,Integrated Natural Resources and Environmental Management
864,IFAD,2014,3198,3198,47300-002,Northern Smallholder Livestock Commercialization
865,IFAD,2014,3198,3198,47300-002,Northern Smallholder Livestock Commercialization
869,"India,Indian Commercial Bank",2015,3225/3226,3225,44444-013,Second Green Power Development
870,"India,Indian Commercial Bank",2015,3225/3226,3226,44444-013,Second Green Power Development
871,"India,Indian Commercial Bank",2015,3225/3226,3225,44444-013,Second Green Power Development
872,"India,Indian Commercial Bank",2015,3225/3226,3226,44444-013,Second Green Power Development
873,International Federation of Red Cross and Red Crescent Society,2010,2626/0246,2626,44065-013,Conflict-Affected Region Emergency
874,International Federation of Red Cross and Red Crescent Society,2010,2626/0246,0246,44065-013,Conflict-Affected Region Emergency
882,IsDB,1979,0426,0426,40253-033,Bintulu Deepwater Port
899,IsDB,2008,2453/2454/0253/0254,2453,40517-013,Public-Private Infrastructure Development Facility
900,IsDB,2008,2453/2454/0253/0254,2454,40517-013,Public-Private Infrastructure Development Facility
901,IsDB,2008,2453/2454/0253/0254,0253,40517-013,Public-Private Infrastructure Development Facility
902,IsDB,2008,2453/2454/0253/0254,0254,40517-013,Public-Private Infrastructure Development Facility
905,IsDB,2011,2769,2769,37113-013,Power System Efficiency Improvement
906,IsDB,2011,2817,2817,38479-034,Regional Roads Development
907,IsDB,2012,2867/0290,2867,43566-013,"Inclusive Micro, Small, and Medium-sized Enterprise Development"
908,IsDB,2012,2867/0290,0290,43566-013,"Inclusive Micro, Small, and Medium-sized Enterprise Development"
909,IsDB,2012,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
910,IsDB,2012,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
911,IsDB,2013,3087,3087,42378-016,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2
912,IsDB,2013,3090/3091/3092,3090,47094-001,Jamshoro Power Generation
913,IsDB,2013,3090/3091/3092,3091,47094-001,Jamshoro Power Generation
914,IsDB,2013,3090/3091/3092,3092,47094-001,Jamshoro Power Generation
915,IsDB,2014,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
916,IsDB,2014,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
917,IsDB,2014,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
918,IsDB,2014,3090/3091/3092,3090,47094-001,Jamshoro Power Generation (Supplementary)
919,IsDB,2014,3090/3091/3092,3091,47094-001,Jamshoro Power Generation (Supplementary)
920,IsDB,2014,3090/3091/3092,3092,47094-001,Jamshoro Power Generation (Supplementary)
921,IsDB,2015,3271,3271,44318-026,Housing for Integrated Rural Development Investment ProgramﾗTranche 3
922,IsDB,2015,3350,3350,42378-017,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3
926,Japan,ERROR, Incorrect data type for operator or @Function, Time/Date expected,2074-2075,2074-2075
932,Japan,1979,0414,0414,46455-002,Upper Warangoi Hydropower
933,Japan,1979,0426,0426,40253-033,Bintulu Deepwater Port
934,Japan,1979,0443,0443,46455-004,Second Bangkok Water Supply
1024,Japan,2000,9001,9001,35346-012,Supporting the Sustainable Livelihood for the Poor in Southern Philippines
1201,Japan,2009,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers
1202,Japan,2009,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers
1203,Japan,2009,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers
1204,Japan,2009,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers
1230,Japan,2011,2453/2454/0253/0254,2453,40517-013,Public-Private Infrastructure Development Facility
1231,Japan,2011,2453/2454/0253/0254,2454,40517-013,Public-Private Infrastructure Development Facility
1232,Japan,2011,2453/2454/0253/0254,0253,40517-013,Public-Private Infrastructure Development Facility
1233,Japan,2011,2453/2454/0253/0254,0254,40517-013,Public-Private Infrastructure Development Facility
1234,Japan,2011,2756,2756,42171-013,Khulna Water Supply
1235,Japan,2011,2761,2761,42122-013,Third Primary Education Development
1236,Japan,2011,2785/0259/8274,2785,41509-013,Rural Primary Health Services Delivery
1237,Japan,2011,2785/0259/8274,0259,41509-013,Rural Primary Health Services Delivery
1238,Japan,2011,2785/0259/8274,8274,41509-013,Rural Primary Health Services Delivery
1239,Japan,2011,9153,9153,42149-012,Institutional Support for Migrant Workers' Remittance
1240,Japan,2011,9154,9154,44082-012,Improving Community-Based Rural Water Supply and Sanitation in Post-Conflict Areas of Jaffna and Kilinochchi
1241,Japan,2011,9155,9155,44134-012,Advancing Economic Opportunities of Women and Girls
1242,Japan,2011,9156,9156,44363-012, Improving Market Access for the Poor in Central Cambodia
1243,Japan,2011,9157,9157,43103-012,Reducing Child Malnutrition through Social Protection
1244,Japan,2011,9158,9158,44135-012," Improving Gender-Inclusive Access to Clean and Renewable Energy in Bhutan, Nepal and Sri Lanka"
1245,Japan,2011,9159,9159,42321-012,Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups
1246,Japan,2011,9160,9160,44129-012,Developing Sustainable Alternative Livelihoods in Coastal Fishing Communities in the Coral Triangle
1247,Japan,2012,2857/2858,2857,45094-001,Road Network Upgrading
1248,Japan,2012,2857/2858,2858,45094-001,Road Network Upgrading
1249,Japan,2012,2872,2872,43396-013,Increasing Competitiveness for Inclusive Growth Program - Subprogram 1
1250,Japan,2012,9161,9161,45127-001,Enhancing Access to Quality Early Childhood Education Services for Children in Poor Communities
1251,Japan,2012,9162,9162,45320-001,Promoting Partnerships and Innovation in Poor and Underserved Communities
1252,Japan,2012,9163/0288,9163,41504-024,Improved Energy Access for Rural Communities
1253,Japan,2012,9163/0288,0288,41504-024,Improved Energy Access for Rural Communities
1254,Japan,2012,9164,9164,45145-001,Establishment of Climate-Resilient Rural Livelihoods
1255,Japan,2012,9165,9165,36222-013,Community-Based Irrigation Rehabilitation and Development
1256,Japan,2012,9166,9166,45520-001,Community Sanitation
1257,Japan,2012,9167,9167,45259-001,Enhanced Agricultural Value Chains for Sustainable Livelihoods
1258,Japan,2012,9168,9168,43069-012,Livelihood Improvement for River Erosion Victims in Assam
1259,Japan,2012,9169,9169,44359-012,Agribusiness Development Assistance for Smallholders in Mindanao
1260,Japan,2013,0365,0365,46265-001,Energy Efficiency for Ho Chi Minh City Water Supply
1261,Japan,2013,2730,2730,41414-043,Greater Mekong Subregion Ben Luc-Long Thanh Expressway - Tranche 1
1262,Japan,2013,2990/2991,2990,43281-013,Tanahu Hydropower
1263,Japan,2013,2990/2991,2991,43281-013,Tanahu Hydropower
1264,Japan,2013,3025/3026,3025,44458-013,Amu Bukhara Irrigation System Rehabilitation
1265,Japan,2013,3025/3026,3026,44458-013,Amu Bukhara Irrigation System Rehabilitation
1266,Japan,2013,3045/3046,3045,42180-013,Second Public-Private Infrastructure Development Facility
1267,Japan,2013,3045/3046,3046,42180-013,Second Public-Private Infrastructure Development Facility
1268,Japan,2013,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
1269,Japan,2013,9170,9170,46010-001,Women's Entrepreneurship Development
1270,Japan,2013,9171,9171,46077-001,Improved Maternal and Child Health through Connectivity
1271,Japan,2013,9172,9172,46284-001,Pilot Project on Weather Index-Based Crop Insurance
1272,Japan,2013,9173,9173,46074-001,Greater Mekong Subregion
1273,Japan,2013,9174,9174,47311-001,Enhancing Rural Livelihoods and Incomes
1274,Japan,2013,9175,9175,47338-001,Emergency Assistance and Early Recovery for Poor Municipalities Affected by Typhoon Yolanda 
1275,Japan,2013,9176,9176,46490-001,Greater Mekong Subregion (GMS) Capacity Building for HIV/AIDs Prevention
1276,Japan,2014,3117/0383,3117,39399-034,South Asia Tourism Infrastructure Development ﾖ Additional Financing
1277,Japan,2014,3117/0383,0383,39399-034,South Asia Tourism Infrastructure Development ﾖ Additional Financing
1278,Japan,2014,9177,9177,47187-001,Pro-Poor Community Infrastructure and Basic Services
1279,Japan,2015,3186,3186,46268-002,Clean Energy Finance Investment ProgramﾗTranche 1 
1280,Japan,2015,9180,9180,49202-001,Disaster Risk Reduction and Livelihood Restoration for Earthquake-Affected Communities
1281,"Japan,JFJCM",2015,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1282,"Japan,JFJCM",2015,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1283,"Japan,JFJCM",2015,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1284,"Japan,JFPR",2014,9178,9178,46009-002,Community-Based Disaster Risk Reduction
1285,"Japan,JFPR",2014,9179,9179,46270-002,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin
1286,"Japan,JFPR",2015,9181,9181,49320-001,Cycone Pam School Reconstruction
1287,"Japan,JFPR",2015,9182,9182,49168-001,Improving School Dormitory Environment for Primary Students in Western Region
1288,"Japan,JFPR",2015,9183,9183,48216-001,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park
1289,"Japan,JFPR",2015,9184,9184,48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project
1290,"Japan,JICA",2014,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional)
1291,"Japan,JICA",2014,3227/3228,3227,47293-001,Improving Competitiveness Program
1292,"Japan,JICA",2014,3227/3228,3228,47293-001,Improving Competitiveness Program
1293,"Japan,JICA",2016,3321/3322,3321,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1294,"Japan,JICA",2016,3321/3322,3322,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1295,"Japan,JFJCM",2015,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1296,"Japan,JFJCM",2015,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1297,"Japan,JFJCM",2015,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
1298,"Japan,JFPR",2014,9178,9178,46009-002,Community-Based Disaster Risk Reduction
1299,"Japan,JFPR",2014,9179,9179,46270-002,Community-Based Flood Risk Management and Disaster Response in the Chao Phraya Basin
1300,"Japan,JFPR",2015,9181,9181,49320-001,Cycone Pam School Reconstruction
1301,"Japan,JFPR",2015,9182,9182,49168-001,Improving School Dormitory Environment for Primary Students in Western Region
1302,"Japan,JFPR",2015,9183,9183,48216-001,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park
1303,"Japan,JFPR",2015,9184,9184,48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project
1304,"Japan,JICA",2014,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional)
1305,"Japan,JICA",2014,3227/3228,3227,47293-001,Improving Competitiveness Program
1306,"Japan,JICA",2014,3227/3228,3228,47293-001,Improving Competitiveness Program
1307,"Japan,JICA",2016,3321/3322,3321,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1308,"Japan,JICA",2016,3321/3322,3322,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
1309,"Germany,KfW",2015,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
1310,"Germany,KfW",2015,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
1311,"Germany,KfW",2015,3356,3356,49232-001,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program
1312,"Germany,KfW",2015,3365,3365,44426-016,Green Energy Corridor and Grid Strengthening Project
1313,"Germany,KfW",2015,3374,3374,42039-036,Power Transmission Investment Program-Tranche 3
1320,Korea,2007,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion
1321,Korea,2007,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion
1322,Korea,2007,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion
1323,Korea,2007,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion
1330,Korea,2010,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion
1331,Korea,2010,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion
1332,Korea,2010,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion
1333,Korea,2010,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion
1335,Korea,2011,2610,2610,39595-033,Mong Duong 1 Thermal Power ﾖ Tranche 2
1336,Korea,2011,2826,2826,41462-013,"Comprehensive Socioeconomic Urban Development in Viet Tri, Hung Yen, and Dong Dang"
1337,Korea,2013,3013/0353,3013,40255-033,Central Mekong Delta Region Connectivity 
1338,Korea,2013,3013/0353,0353,40255-033,Central Mekong Delta Region Connectivity 
1339,Korea,2013,3047,3047,44213-016,Secondary Education Sector Investment Program - Tranche 1 (Supplementary)
1340,Korea,2014,3119/3120,3119,42251-018,Skills Sector Enhancement Program
1341,Korea,2014,3119/3120,3120,42251-018,Skills Sector Enhancement Program
1342,Korea,2014,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
1343,Korea,2014,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
1344,Korea,2014,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
1345,Korea,2014,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
1346,Korea,2014,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
1347,Korea,2014,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
1348,Korea,2014,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
1349,Korea,2015,3047,3047,44213-016,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary)
1358,Kuwait,2015,3124/8288,3124,33209-014,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing
1359,Kuwait,2015,3124/8288,8288,33209-014,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing
1360,Malaysia,2006,2288/2602/0187,2288,37269-023,Greater Mekong Subregion
1361,Malaysia,2006,2288/2602/0187,2602,37269-023,Greater Mekong Subregion
1362,Malaysia,2006,2288/2602/0187,0187,37269-023,Greater Mekong Subregion
1367,MDTF-WFPF,2009,2550/0159,2550,42382-013,Liaoning Small Cities and Towns Development Demonstration Sector
1368,MDTF-WFPF,2009,2550/0159,0159,42382-013,Liaoning Small Cities and Towns Development Demonstration Sector
1371,MDTF-WFPF,2009,2606,2606,42383-023,Shanxi Small Cities and Towns Development Demonstration Sector
1375,MDTF-WFPF,2014,2795/0263/0387,2795,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
1376,MDTF-WFPF,2014,2795/0263/0387,0263,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
1377,MDTF-WFPF,2014,2795/0263/0387,0387,43072-013,South Tarawa Sanitation Improvement Sector ﾖ Additional Financing
1410,NDF,2011,2789,2789,41433-013,Transport Connections in Northern Mountainous Provinces
1411,NDF,2013,0357/0358,0357,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
1412,NDF,2013,0357/0358,0358,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
1413,NDF,2014,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
1414,NDF,2014,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
1415,NDF,2014,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
1416,NDF,2014,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
1417,NDF,2014,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
1418,NDF,2014,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
1419,NDF,2014,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
1420,Neighbourhood Investment Facility,2013,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3
1480,Netherlands,2005,2200/0036/3302/0441,2200,34418-023,Southwest Area Integrated Water Resources Planning and Management
1481,Netherlands,2005,2200/0036/3302/0441,0036,34418-023,Southwest Area Integrated Water Resources Planning and Management
1482,Netherlands,2005,2200/0036/3302/0441,3302,34418-023,Southwest Area Integrated Water Resources Planning and Management
1483,Netherlands,2005,2200/0036/3302/0441,0441,34418-023,Southwest Area Integrated Water Resources Planning and Management
1505,Netherlands,2014,3138/0396,3138,44167-014,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1
1506,Netherlands,2014,3138/0396,0396,44167-014,Flood and Riverbank Erosion Risk Management Investment Program ﾖ Project 1
1507,"Netherlands,Netherlands",2015,2200/0036/3302/0441,2200,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1508,"Netherlands,Netherlands",2015,2200/0036/3302/0441,0036,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1509,"Netherlands,Netherlands",2015,2200/0036/3302/0441,3302,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1510,"Netherlands,Netherlands",2015,2200/0036/3302/0441,0441,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
1520,New Zealand,2006,0049/50,0049,39581-012,Road Improvement (Sector)
1521,New Zealand,2006,0049/50,0050,39581-012,Road Improvement (Sector)
1531,New Zealand,2011,2820/3249/0273/0427,2820,42392-013,Interisland Shipping Support
1532,New Zealand,2011,2820/3249/0273/0427,3249,42392-013,Interisland Shipping Support
1533,New Zealand,2011,2820/3249/0273/0427,0273,42392-013,Interisland Shipping Support
1534,New Zealand,2011,2820/3249/0273/0427,0427,42392-013,Interisland Shipping Support
