,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
132,Australia,2010,2686/0226/0425,2686,44304-014,Microfinance Expansion
133,Australia,2010,2686/0226/0425,0226,44304-014,Microfinance Expansion
134,Australia,2010,2686/0226/0425,0425,44304-014,Microfinance Expansion
140,Australia,2011,2761,2761,42122-013,Third Primary Education Development
144,Australia,2011,2795/0263/0387,2795,43072-013,South Tarawa Sanitation Improvement Sector
145,Australia,2011,2795/0263/0387,0263,43072-013,South Tarawa Sanitation Improvement Sector
146,Australia,2011,2795/0263/0387,0387,43072-013,South Tarawa Sanitation Improvement Sector
152,Australia,2011,G0272/0289,G0272,35174-082,School Sector Program
153,Australia,2011,G0272/0289,0289,35174-082,School Sector Program
154,Australia,2012,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector) (Supplementary)
155,Australia,2012,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector) (Supplementary)
156,Australia,2012,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector) (Supplementary)
162,Australia,2012,2288/2602/0187,2288,37269-023,Greater Mekong Subregion
163,Australia,2012,2288/2602/0187,2602,37269-023,Greater Mekong Subregion
164,Australia,2012,2288/2602/0187,0187,37269-023,Greater Mekong Subregion
165,Australia,2012,2852/3125/0285,2852,46009-003,Flood Damage Emergency Reconstruction
166,Australia,2012,2852/3125/0285,3125,46009-003,Flood Damage Emergency Reconstruction
167,Australia,2012,2852/3125/0285,0285,46009-003,Flood Damage Emergency Reconstruction
168,Australia,2012,G0272/0289,G0272,35174-082,School Sector Program (Supplementary)
169,Australia,2012,G0272/0289,0289,35174-082,School Sector Program (Supplementary)
170,Australia,2013,0336,0336,45303-001,Rural Energy
171,Australia,2013,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable Energy
172,Australia,2013,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable Energy
173,Australia,2013,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable Energy
