Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
France,2012,,2959,42039-035,VIE,Power Transmission Investment Program - Tranche 2,SERD,SEEN,12/05/2012,100,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
France,2013,3068 (CL),3068,46093-004,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,100,DVA,PS,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
France,2013,3087 (CL),3087,42378-016,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,125,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
France,2013,8272,3015/0354/8272,41074-013,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,49.5,DVA,PS,Partial Administration,Bilateral,Loan,Energy,Sovereign
France,2013,8273,2920/8273,44507-003,VIE,Public-Private Partnership Support - Additional Cofinancing,SERD,SEPF,08/23/2013,10,DVA,FW,Partial Administration,Bilateral,Loan,Public Sector Management,Sovereign
France,2013,8292,3051/8292,42173-013,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,64,DVA,FW,Partial Administration,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
France,2014,3111 (CL),3111,44253-013,PHI,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1,SERD,SEPF,02/13/2014,150,DVA,FW,Collaborative,Bilateral,Loan,Public Sector Management,Sovereign
France,2014,8282,3029/3030/8282,45148-007,SRI,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2ﾖAdditional Cofinancing,SARD,SAUW,06/09/2014,70,DVA,FW,Partial Administration,Bilateral,Loan,Water and Other Urban Infrastructure and Services,Sovereign
France,2015,,3303/8293,49043-001,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,150,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
France,2016,8305,8305,46064-003,CAM,Technical and Vocational Education and Training Sector Development ProgramﾗAdditional Financing,SERD,SEHS,02/29/2016,15,DVA,PS,Partial Administration,Bilateral,Loan,Education,Sovereign
"France,AFD",2014,8290,3146/3147/0084/8290,47037-004,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,30,DVA,FW,Partial Administration,Bilateral,Loan,Energy,Sovereign
"France,AFD",2015,3363/3364,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,75.9,DVA,FW,Collaborative,Bilateral,Loan,Transport,Sovereign
"France,AFD",2015,8299,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,40,DVA,FW,Partial Administration,Bilateral,Loan,Transport,Sovereign
"France,AFD",2015,,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,46,DVA,FW,Collaborative,Bilateral,Loan,Water and Other Urban Infrastructure and Services,Sovereign
"France,DGT",2015,3363/3364,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,93.5,DVA,PS,Collaborative,Bilateral,Loan,Transport,Sovereign
FTI,,,,,,,,,,70,,,,,,,
FTI,2011,0272 (CG),G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,70,DVA,,Collaborative,Multilateral,Grant,Education,Sovereign
GAFSP,,,,,,,,,,39.1,,,,,,,
GAFSP,2012,302,2455/0116/0302,42186-014,CAM,Emergency Food Assistance - Additional Financing,SERD,CARM,09/11/2012,24.5,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GAFSP,2013,349,3006/3007/0349/0350/8271,44321-013,CAM,Climate-Resilient Rice Commercialization Sector Development Program,SERD,SEER,06/27/2013,14.6,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GDCF,,,,,,,,,,1.4,,,,,,,
GDCF,2009,143,143,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,0.5,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
GDCF,2009,148,2515/0148,41664,PHI,Enhancing Midwives' Entrepreneurial and Financial Literacy,SERD,,03/25/2009,0.4,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Health and Social Protection,Sovereign
GDCF,2009,189,2607/0188/0189,38662,PRC,Shanxi Integrated Agricultural Development,EARD,,12/16/2009,0.2,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Agriculture and Natural Resources,Sovereign
GDCF,2014,382,9135/0277/0382/0406,38097-013,NEP,Establishing Women and Children Service Centers ﾖ Additional Financing,SARD,SAHS,03/25/2014,0.3,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Health and Social Protection,Sovereign
GEF,,,,,,,,,,134.43,,,,,,,
GEF,1998,3158,1643/3158(L)/3300(L),30032,BAN,Sundarbans Biodiversity Conservation,SARD,SAAE,11/27/1998,12.2,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2001,3519(L),1767/3519(L)/3778(L),31381,SRI,Protected Area Management and Wildlife Conservations,SARD,,09/13/2001,9,DVA,PS,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2002,3945(L),1924/3945(L),33443,PRC,Efficient Utilization of Agricultural Wastes,EARD,EAAE,10/22/2002,6.36,DVA,PS,Full Administration,Global Fund,Grant,Multisector,Sovereign
GEF,2002,,1939,,CAM,Tonle Sap Environmental Management,SERD,SEAE,11/21/2002,3.93,Non-DVA,,,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2004,4357(L),4357(L),36445-022,PRC,Capacity Building to Combat Land Degradation,EARD,,06/28/2004,7.7,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2005,4571 (L),2157/4571(L),35289,PRC,Sanjiang Plain Wetlands Protection,EARD,EAAE,03/14/2005,12.14,DVA,PS,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2007,71,2311/0071,33276,PHI,Integrated Coastal Resources Management,SERD,,01/23/2007,9,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2008,80,2245-2246/0080,37536,UZB,Land Improvement,CWRD,,01/09/2008,3,DVA,PS,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2008,111,2313/0072/0111,37530,TAJ,Rural Development (Supplementary),CWRD,,05/15/2008,3.5,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2008,113,2436/0113,38660,PRC,Ningxia Integrated Ecosystem and Agricultural Development,EARD,,08/29/2008,4.55,DVA,PS,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2009,169,2572/0169,39321,PRC,Shaanxi Qinling Biodiversity Conservation and Demonstration,EARD,,10/22/2009,4.27,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2009,194,2428/0194,36437,PRC,Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin,EARD,,10/30/2009,2.98,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2010,203,2632/0202/0203,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,9.2,DVA,,Full Administration,Global Fund,Grant,Multisector,Sovereign
GEF,2010,216,2500/2501/0216,,INO,Citarum Watershed Management and Biodiversity Conservation,SERD,SEAE,08/04/2010,3.75,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2010,239,2656/0212/0239,44058,NEP,Kathmandu Sustainable Urban Transport,SARD,,11/30/2010,2.52,DVA,,Full Administration,Global Fund,Grant,Transport and ICT,Sovereign
GEF,2011,250,2744/G0250,40684,PRC,Forestry and Ecological Restoration in Three Northwest Provinces,EARD,EAER,03/29/2011,5.1,DVA,,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2012,287,2862-64/0287/8270,42169-013,BAN,Greater Dhaka Sustainable Urban Transport,SARD,SAUW,04/17/2012,4.6,DVA,CFA/TF,Full Administration,Global Fund,Grant,Transport and ICT,Sovereign
GEF,2012,311,2838/0311,40685-023,PRC,Jiangsu Yancheng Wetlands Protection - Additional Financing,EARD,EAER,09/18/2012,2.25,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2012,315,2934/2935/0315,39256-024,MON,Urban Transport Development Investment Program - Tranche 1,EARD,EASS,11/08/2012,1.5,DVA,PS,Full Administration,Global Fund,Grant,Transport and ICT,Sovereign
GEF,2012,325,2957/0324-0325/8266,41220-013,PHI,Integrated Natural Resources and Environmental Management,SERD,SEER,12/03/2012,2.5,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2012,331,2980/0331,44037-014,PRC,Shaanxi Weinan Luyang Integrated Saline Land Management,EARD,EAER,12/17/2012,2,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2013,364,2835/0364,44012-013,PRC,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing,EARD,EAEN,10/09/2013,3.65,DVA,CFA/TF,Full Administration,Global Fund,Grant,Energy,Sovereign
GEF,2013,379,3094/0379,46421-001,INO,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative,SERD,SEER,12/13/2013,8,DVA,CFA/TF,Full Administration,Global Fund,Grant,Agriculture and Natural Resources,Sovereign
GEF,2014,388,2915/0388,44007-013,PRC,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement ﾖ Additional Financing,EARD,EATC,05/14/2014,2.55,DVA,CFA/TF,Full Administration,Global Fund,Grant,Transport,Sovereign
GEF,2014,,3216/0420,45022-002,PRC,Jiangxi Ji'an Sustainable Urban Transport,EARD,EATC,12/09/2014,2.55,DVA,PS,Full Administration,Global Fund,Grant,Transport,Sovereign
GEF,2015,433,433,40253-035,VIE,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing,SERD,SEER,06/24/2015,3.79,DVA,PS,Full Administration,Global Fund,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
GEF,2015,471,3250/0471/8303,45041-002,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,1.84,DVA,PS,Full Administration,Global Fund,Grant,Transport,Sovereign
GEF-LDCF,,,,,,,,,,7.18,,,,,,,
GEF-LDCF,2014,404,3020/3021/0404,46260,TIM,Road Network Upgrading Sector ﾖ Additional Financing,PARD,PATE,09/11/2014,4.5,DVA,PS,Full Administration,Global Fund,Grant,Transport,Sovereign
GEF-LDCF,2015,461,3331/3332/0459/0460/0461,49319-001,VAN,Cyclone Pam Road Reconstruction Project,PARD,PLCO,11/25/2015,2.68,DVA,PS,Full Administration,Global Fund,Grant,Transport,Sovereign
Germany,,,,,,,,,,3271.65,,,,,,,
Germany,1971,,65,,LAO,Vientiane Power Distribution,SERD,SEID,05/06/1971,3.73,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1975,,217,44236-01,BAN,Ashuganj Fertilizer,SARD,BRM,02/20/1975,12.1,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Germany,1975,,231,,SRI,Urea Fertilizer,SARD,,09/18/1975,24.5,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Germany,1977,,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement,SARD,,12/09/1977,13.3,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Germany,1978,,375,,INO,Fifth Port,SERD,,12/07/1978,40.39,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Germany,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,9.95,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Germany,1979,,403,,SRI,Urea Fertilizer (Supplementary),SARD,AWFN,06/21/1979,3,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Germany,1979,,412,,PHI,Manila Port,SERD,,09/27/1979,12.25,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Germany,1979,,437,,MYA,Cement Industry Program,SERD,,12/12/1979,1.35,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Germany,1980,,505,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,18,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1982,,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,7.6,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Germany,1982,,570,,PAK,Telecommunications,CWRD,,06/17/1982,30,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Germany,1982,,587,15076,BAN,Ashuganj Thermal Power Generation,SARD,,10/21/1982,48,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1983,,636,,BAN,Power Transmission and Distribution,SARD,,09/13/1983,18.05,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1983,,674,,INO,Power XVIII,SERD,,12/20/1983,11,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1984,,701,,PAK,Tarbela Hydropower Extension (Units 11 and 12),CWRD,,11/01/1984,24.45,Non-DVA,,,Bilateral,Loan,Energy,Non-Sovereign
Germany,1984,,708,,NEP,Sixth Power,SARD,,11/20/1984,0.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1985,,760,,PAK,Tarbela Units 13 & 14 and 500 kV Transmission,CWRD,,11/28/1985,38.6,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1986,,824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,175,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1990,,1022,,THA,Transmission System for Mae Moh Power (Units 10 & 11),SERD,,06/05/1990,15.7,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1990,,1025,,PAK,Third Telecommunications,CWRD,,08/16/1990,30,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Germany,1990,,1037,,NEP,Small Farmers Development III,SARD,,10/04/1990,1,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Germany,1991,,1111,,INO,Bogor and Palembang Urban Dev,SERD,SESS,10/31/1991,7.3,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
Germany,1991,,1146,24268,PAK,Chasma Right Bank Irrigation III,CWRD,,12/17/1991,43,DVA,PS,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Germany,1992,,1172,,INO,Power XXII,SERD,SEID,08/04/1992,45.7,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1992,,1209,,PAK,Flood Damage Restoration (Sector),CWRD,SAAE,12/15/1992,10,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
Germany,1994,,1143,,PAK,WAPDA Twelfth Power (Sector),CWRD,,11/01/1994,81.25,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1994,,1300/2194(L),,MON,Telecommunications,EARD,EATC,06/16/1994,7.02,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Germany,1994,,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,14.23,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
Germany,1995,,1398,,PHI,Northern Luzon Transmission & Generation,SERD,SEID,11/02/1995,27.8,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1996,,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,147,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,1996,,1460,,VIE,Population and Family Health,SERD,,09/19/1996,15.02,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
Germany,1997,,1525,,LAO,Secondary Towns Urban Development,SERD,SESS,06/26/1997,0.8,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Germany,1997,,1559,,INO,"Belawan, Balikpapan and Banjarmasin Ports",SERD,,07/11/1997,25,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
Germany,2001,,1706/3632(L),29637,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,2.45,Non-DVA,,,Bilateral,Grant,Education,Sovereign
Germany,2001,,1830,,BHU,Basic Skills Development,SARD,SASS,06/21/2001,2.5,Non-DVA,,,Bilateral,Grant,Education,Sovereign
Germany,2001,,1846/3742(L),34442,SRI,North East Community Restoration and Development,SARD,SAOC,10/16/2001,2.5,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Germany,2001,,1871,,IND,Private Sector Infrastructure Facility at State Level,SARD,SAGF,12/11/2001,2,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Germany,2001,,1884-1885,,BAN,West Zone Power System Development,SARD,,12/17/2001,30,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Germany,2002,,1952,,BAN,Rural Infrastructure Improvement,SARD,SAAE,12/02/2002,11.9,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
Germany,2002,,1952,,BAN,Rural Infrastructure Improvement,SARD,SAAE,12/02/2002,5,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
Germany,2004,,2092,30232,NEP,Decentralized Rural Infrastructure and Livelihood,SARD,SAAE,09/24/2004,0.7,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Germany,2004,,2095,34344,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,17,DVA,,Collaborative,Bilateral,Loan,Industry and Trade,Sovereign
Germany,2006,2281 (CL),2281,36343,IND,Rural Cooperative Credit Restructuring and Development Program,SARD,SAGF,11/23/2006,151.8,DVA,,Collaborative,Bilateral,Loan,Finance,Sovereign
Germany,2006,,2254/0053,36224-01,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,3.6,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Germany,2006,,2254/0053,36224-01,BAN,Second Rural Infrastructure Improvement,SARD,SANS,08/18/2006,21.6,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Germany,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,7.6,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
Germany,2006,,2284,38335,VIE,Small and Medium Enterprise Development Program - Subprogram II,SERD,SEGF,12/12/2006,7.57,DVA,PS,Collaborative,Bilateral,Loan,Industry and Trade,Sovereign
Germany,2006,,2301,37697,MON,Urban Development Sector,EARD,EASS,12/19/2006,1.2,Non-DVA,,,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Germany,2006,,2301,37697,MON,Urban Development Sector,EARD,EASS,12/19/2006,0.24,Non-DVA,,,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Germany,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,8,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
Germany,2008,,2462,40559,BAN,Second Urban Governance and Infrastructure Improvement (Sector),SARD,,10/28/2008,4.7,Non-DVA,,,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Germany,2008,,2462,40559,BAN,Second Urban Governance and Infrastructure Improvement (Sector),SARD,,10/28/2008,36.1,Non-DVA,,,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Germany,2008,,2476,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,80,Non-DVA,,,Bilateral,Loan,Energy,Non-Sovereign
Germany,2010,2696 (CG),2696,40515,BAN,Sustainable Rural Infrastructure Improvement,SARD,SANS,11/11/2010,15.9,DVA,Others,Collaborative,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Germany,2010,,2620,,ARM,Zvartnots Airport Expansion Project (Phase 2),PSOD,PSIF,03/26/2010,20,Non-DVA,,,Bilateral,Loan,Transport and ICT,Non-Sovereign
Germany,2010,,2632/0202/0203,,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,4.6,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
Germany,2010,,2731,39500,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,SERD,,12/22/2010,36.4,DVA,PS,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
Germany,2011,2695 (CG),2695/0323,39298-013,BAN,City Region Development,SARD,SAUW,10/31/2011,14.86,DVA,,Collaborative,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
Germany,2012,2913 (CG),2913/0310/8258,45084-002,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,8.8,DVA,PS,Collaborative,Bilateral,Grant,Transport and ICT,Sovereign
Germany,2012,2914 (CL),2914,41627-053,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,200,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
Germany,2012,,2956,39500-033,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,276.6,DVA,PS,Collaborative,Bilateral,Loan,Transport and ICT,Sovereign
Germany,2014,3164 (CL),3164,48134-001,INO,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1,SERD,SEPF,09/25/2014,200,DVA,FW,Collaborative,Bilateral,Loan,Public Sector Management,Sovereign
Germany,2015,,3303/8293,49043-001,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,200,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
Germany,No Approval Date,,2063,32499,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,0.4,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
"Germany,Germany",2014,3119 (CG),3119/3120,42251-018,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,15.4,Non-DVA,PS,,Bilateral,Grant,Education,Sovereign
"Germany,KfW",2015,3356,3356,49232-001,PRC,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,EARD,EASS,12/10/2015,166.65,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
"Germany,KfW",2015,3374,3374,42039-036,VIE,Power Transmission Investment Program-Tranche 3,SERD,SEEN,12/18/2015,71,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
"Germany,KfW",2015,,3083/8276,42362-013,INO,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,SERD,SEEN,10/28/2015,57,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
"Germany,KfW",2015,,3365,44426-016,IND,Green Energy Corridor and Grid Strengthening,SARD,SAEN,12/09/2015,625,DVA,FW,Collaborative,Bilateral,Loan,Energy,Sovereign
GPE,,,,,,,,,,100,,,,,,,
GPE,2015,,3256,42122-013,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,100,DVA,PS,Collaborative,Multilateral,Grant,Education,Sovereign
HFPF-RMTF,,,,,,,,,,9.5,,,,,,,
HFPF-RMTF,2015,448,2699/0231/0448,41505-013,CAM,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,4,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Health,Sovereign
HFPF-RMTF,2015,449,2699/0232/0449,41507-013,LAO,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,3,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Health,Sovereign
HFPF-RMTF,2015,450,2699/0450,41508-014,VIE,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing,SERD,SEHS,10/26/2015,2.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Health,Sovereign
HIV/AIDS Cooperation Fund,,,,,,,,,,0.75,,,,,,,
HIV/AIDS Cooperation Fund,2007,102,2398-2399/0102,40037,PNG,Lae Port Development,PARD,PAHQ,12/18/2007,0.75,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,Transport and ICT,Sovereign
IFAD,,,,,,,,,,505.52,,,,,,,
IFAD,1977,,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement,SARD,,12/09/1977,12,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1978,,378,11040,BAN,Pabna Irrigation and Rural Development,SARD,SAAE,12/12/1978,30,DVA,PS,Full Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1978,,387,,NEP,Integrated Rural Development,SARD,SAAE,12/20/1978,13,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,8,DVA,PS,Full Administration,Multilateral,Loan,Industry and Trade,Sovereign
IFAD,1979,,418,,LAO,Casier Sud Pioneer Agricultural,SERD,SEAE,10/29/1979,6.1,DVA,PS,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1979,,428,12035,PAK,South Rohri Fresh Groundwater Irrigation,CWRD,SAAE,11/27/1979,16,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1980,,496,13045,SRI,Anuradhapura Dry Zone Agriculture,SARD,SAAE,12/15/1980,14.5,DVA,,Partial Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1981,,526,,SRI,Coconut Development,SARD,SAAE,09/24/1981,8,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1981,,548,,PHI,Smallholder Livestock Development,SERD,,11/25/1981,8,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1981,,560,14049,NEP,Command Area Development,SARD,SAAE,12/15/1981,11.1,DVA,PS,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1982,,0324/0612,15048,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,6,DVA,,Collaborative,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1982,,615,15077,BAN,Northwest Rural Development,SARD,SAAE,12/14/1982,14.5,DVA,PS,Full Administration,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1983,,624,16125,TON,Development and Redevelopment,PARD,,04/26/1983,1,DVA,,,Multilateral,Loan,Multisector,Sovereign
IFAD,1983,,627,16003,INO,Irrigation Package II,SERD,SEAE,05/19/1983,25,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1983,,646,17086,SOL,Agricultural Development,PARD,,10/29/1983,1.5,DVA,PS,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
IFAD,1985,,734,17017,PAK,Gujranwala Agricultural Development,CWRD,,02/19/1985,8.5,DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
