Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
AITF,2015,437,0126/0437,39370-023,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,11,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
AITF,2015,465,0464/0465,47282-003,AFG,Energy Supply Improvement ProgramﾗTranche 1,CWRD,CWEN,12/08/2015,75,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
AsIF,,,,,,,,,,13.7,,,,,,,
AsIF,2015,3250,3250/0471/8303,45041-002,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,6.9,DVA,PS,Collaborative,Multilateral,Grant,Transport,Sovereign
AsIF,2015,,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,6.8,DVA,PS,Collaborative,Multilateral,Grant,Water and Other Urban Infrastructure and Services,Sovereign
Australia,,,,,,,,,,1704.3,,,,,,,
Australia,1973,,146,41657,TON,Telecommunications,PARD,PARD,11/08/1973,0.78,Non-DVA,,,Bilateral,Grant,Transport and ICT,Sovereign
Australia,1976,,289,,SOL,Beef Cattle Development,PARD,,12/21/1976,1.54,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Australia,1977,,0334/8009,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,0.46,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Australia,1978,,372,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,4.5,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Australia,1979,,445,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0.89,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
