,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
34,Australia,1979,,445,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0.89,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
35,Australia,1980,,485,,SAM,Agricultural Development,PARD,,11/27/1980,2.0,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
36,Australia,1983,,646,,SOL,Agricultural Development,PARD,,10/29/1983,2.0,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
37,Australia,1986,,786,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,0.16,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
38,Australia,1990,,1031,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,2.7,Non-DVA,,,Bilateral,Loan,Transport and ICT,Sovereign
39,Australia,1992,,1183,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,3.87,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
40,Australia,1993,,1225,,PNG,Population and Family Planning,PARD,,04/01/1993,10.0,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
41,Australia,1994,,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,10.55,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
42,Australia,1995,,1367,,PHI,Regional Municipal Development,SERD,,08/30/1995,11.77,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
43,Australia,1995,,1396,,PHI,Integrated Community Health,SERD,,10/17/1995,13.7,Non-DVA,,,Bilateral,Grant,Health and Social Protection,Sovereign
44,Australia,1996,,1448,,VAN,Urban Infrastructure,PARD,PARD,06/27/1996,0.32,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
45,Australia,1998,,1621,,LAO,Basic Education (Girls),SERD,SESS,06/25/1998,5.0,Non-DVA,,,Bilateral,Grant,Education,Sovereign
46,Australia,1999,3398,1697/3398(L),28338,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,0.86,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
47,Australia,1999,,1703,,PNG,Financial Management,PARD,,10/21/1999,12.0,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
48,Australia,2000,3520(L),1768/3520(L),32472,PNG,Microfinance and Employment,PARD,,10/19/2000,0.91,DVA,,Full Administration,Bilateral,Grant,Finance,Sovereign
49,Australia,2000,,1812,,PNG,Provincial Towns Water Supply and Sanitation,PARD,,12/15/2000,1.8,Non-DVA,,,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
50,Australia,2001,3632(L),1706/3632(L),29637,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,5.49,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
51,Australia,2003,,2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,12.0,Non-DVA,,,Bilateral,Grant,Education,Sovereign
52,Australia,2005,31,2220/0031/0032,34285,SAM,Education Sector II,PARD,PAHQ,12/16/2005,8.6,DVA,PS,Partial Administration,Bilateral,Grant,Education,Sovereign
53,Australia,2006,42,42,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,3.5,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
54,Australia,2006,43,1823/G0043/G0044,34513,SOL,Post-Conflict Emergency Rehabilitation (Supplementary),PARD,PARD,02/08/2006,2.0,DVA,PS,Full Administration,Bilateral,Grant,Multisector,Sovereign
55,Australia,2006,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,6.1,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
56,Australia,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,7.4,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
57,Australia,2007,82,0082/8241,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,14.5,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
58,Australia,2007,95,2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,25.5,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
