,Donor,Unnamed: 1,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
2,Asian Development Bank,"ADFD,OFID",2012,2012,,2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,198.00,,,198.00,,,,,,,,,,,3700.0,Transport and ICT,3701,Road Transport,,,,,,,,,,,,,,,with piggy back TA8221,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
3,ADFD,ADFD,2012,2012,2949 (CL),2949/8263,40540-014,,,BAN,South Asia Subregional Economic Cooperation Road Connectivity,SARD,SATC,11/22/2012,,,,,0.00,,30.00,,30.00,DVA,,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,11/22/2012,,,,Under Processing,Sovereign,,,,,"DR 2012. para on 2012 Highlights on FCAs, pp 30; para on ADFD FCA, pp 43."
5,Asian Development Bank,"Japan,EIB,ADFD",2013,2013,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,150.00,,,150.00,,,,,,,,,,,3200.0,Energy,3202,Large Hydropower,,,Sustainable Economic Growth,,,,,,,,,,,,,
6,ADFD,ADFD,2013,2013,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0.00,,30.00,,30.00,DVA,,Collaborative,Bilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,,
9,AFD,"France,AFD",2014,2014,8290,3146/3147/0084/8290,47037-004,,,SRI,Green Power Development and Energy Efficiency Improvement Investment Program – Tranche 1,SARD,SAEN,07/29/2014,,,,,0.00,,30.00,,30.00,DVA,FW,Partial Administration,Bilateral,Loan,,3200.0,Energy,,"Large Hydropower Generation, Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/29/2014,,,,,Sovereign,,,,,
11,Asian Development Bank,AFD,2015,2015,,3151/401-2/466-7/8299-300,42334-017,,,CAM,Rural Roads Improvement II—Additional Financing,SERD,SETC,12/08/2015,,,,,0.00,,,,,,,,,,,3700.0,Transport,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,"Related to LN3151, GR0401 and GR0402 all in 2014",
13,AFD,"France,AFD",2015,2015,8299,3151/401/402/466/407/8299/8300,42334-014,,,CAM,Rural Roads Improvement II—Additional Financing,SERD,SETC,12/08/2015,,,,,0.00,,40.00,,40.00,DVA,FW,Partial Administration,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/08/2015,,,,,Sovereign,,,,,
15,AFD,"France,AFD",2015,2015,3316 (CL),3316/0455,47127-002,,,,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.00,,46.00,,46.00,DVA,FW,Collaborative,Bilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,
17,AFD,"France,AFD",2015,2015,3363 (CL) -1,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)—Additional Financing,SERD,SETC,12/10/2015,,,,,0.00,,75.90,,75.90,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,
19,Asian Development Bank,"France,AFD",2016,2016,,8305,46064-003,,,CAM,Technical and Vocational Education and Training Sector Development Program—Additional Cofinancing,SERD,SEHS,02/29/2016,,,,,0.00,,,,,,,,,,,3100.0,Education,"3105, 3113","Technical and Vocational Education and Training,Education Sector Development",,,,,,,,,,,,,,,,
22,AIF,AIF,2013,2013,8276,3083/8276,42362-013,,,,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,,,,,0.00,,25.00,,25.00,DVA,PS,Full Administration,Multilateral,Loan,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,No,,12/03/2013,,,,,Sovereign,,,,first approval from the ASEAN Infrastructure Fund,
24,Asian Development Bank,AIF,2013,2013,8276,3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,SERD,SEEN,12/03/2013,224.00,,,,224.00,,,,,,,,,,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,Sustainable Economic Growth,,,,,,,,,,,,,
26,Asian Development Bank,"Australia,AIF",2014,2014,,3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,80.00,,,,80.00,,,,,,,,,,,3800.0,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,,Environment Sustainability,,,,,,,,,,,,,
